"autor","funkcja"
"Jan Oosting","rep"
"Jan Oosting","setMethod"
"Jan Oosting","aggregate"
"Jan Oosting","standardGeneric"
"Jan Oosting","fData"
"Jan Oosting","featureNames"
"Jan Oosting","quantsmooth"
"Jan Oosting","sampleNames"
"Jan Oosting","smoothed.intensity"
"Jan Oosting","sum"
"Jan Oosting","switch"
"Jan Oosting","unique"
"Jan Oosting","order"
"Jan Oosting","paste"
"Jan Oosting","rbind"
"Jan Oosting","require"
"Jan Oosting","split"
"Jan Oosting","stop"
"Jan Oosting","max"
"Jan Oosting","mean"
"Jan Oosting","min"
"Jan Oosting","missing"
"Jan Oosting","names"
"Jan Oosting","row.names"
"Jan Oosting","rownames"
"Jan Oosting","callNextMethod"
"Jan Oosting","new"
"Jan Oosting","sortGenomic"
"Jan Oosting","runDNAcopy"
"Jan Oosting","runGLAD"
"Jan Oosting","runHomHMM"
"Jan Oosting","segment"
"Jan Oosting","segmentate.old"
"Jan Oosting","smooth.CNA"
"Jan Oosting","plotGroupZygosity"
"Jan Oosting","plotSmoothed"
"Jan Oosting","prepareGenomePlot"
"Jan Oosting","reportChromosomeGainLossLOH"
"Jan Oosting","reportChromosomesSmoothCopyNumber"
"Jan Oosting","reportSamplesSmoothCopyNumber"
"Jan Oosting","RG2polar"
"Jan Oosting","scaleto"
"Jan Oosting","summary"
"Jan Oosting","which"
"Jan Oosting","sweep"
"Jan Oosting","vector"
"Jan Oosting","warning"
"Jan Oosting","which.max"
"Jan Oosting","substr"
"Jan Oosting","t"
"Jan Oosting","dev.off"
"Jan Oosting","pdf"
"Jan Oosting","as.dist"
"Jan Oosting","median"
"Jan Oosting","lm"
"Jan Oosting","quantile"
"Jan Oosting","abline"
"Jan Oosting","axis"
"Jan Oosting","legend"
"Jan Oosting","lines"
"Jan Oosting","par"
"Jan Oosting","plot"
"Jan Oosting","points"
"Jan Oosting","rect"
"Jan Oosting","segments"
"Jan Oosting","rgb"
"Jan Oosting","setReplaceMethod"
"Jan Oosting","setValidity"
"Jan Oosting","signature"
"Jan Oosting","validObject"
"Jan Oosting","read.table"
"Jan Oosting","type.convert"
"Jan Oosting","write.table"
"Jan Oosting","intersect"
"Jan Oosting","setdiff"
"Jan Oosting","combine"
"Jan Oosting","summarize"
"Jan Oosting","union"
"Mike Smith","as.integer"
"Mike Smith","as.vector"
"Mike Smith","c"
"Mike Smith","setTxtProgressBar"
"Mike Smith","writeCoordinates"
"Mike Smith","writeIntensities"
"Mike Smith","close"
"Mike Smith","file"
"Mike Smith","writeBin"
"Mike Smith","floor"
"Mike Smith","length"
"Mike Smith","lm"
"Mike Smith","readHeader"
"Mike Smith","readIntensities"
"Mike Smith","reformCoordinates"
"Mike Smith","writeLocsFile"
"Mike Smith","matrix"
"Mike Smith","max"
"Mike Smith","ncol"
"Mike Smith","nrow"
"Mike Smith","round"
"Mike Smith","sapply"
"Mike Smith","split"
"Mike Smith","strsplit"
"Mike Smith","unique"
"Mike Smith","which"
"Mike Smith","sort"
"Mike Smith","sum"
"Mike Smith","seq"
"Mike Smith","stop"
"Mike Smith","table"
"Mike Smith","writeBabHeader"
"Mike Smith","numberOfChannels"
"Mike Smith","txtProgressBar"
"Mike Smith","write.table"
"David T.","abs"
"David T.","cbind"
"David T.","colnames"
"David T.","write.table"
"David T.","`:=`"
"David T.","data.table"
"David T.","colSums"
"David T.","data.frame"
"David T.","dim"
"David T.","do.call"
"David T.","eval"
"David T.","gsub"
"David T.","metadata"
"David T.","cleanup_model_names"
"David T.","compute_alpha"
"David T.","compute_genewise_dropouts"
"David T.","lapply"
"David T.","length"
"David T.","library"
"David T.","max"
"David T.","min"
"David T.","numeric"
"David T.","rbind"
"David T.","round"
"David T.","rownames"
"David T.","seq"
"David T.","seq_len"
"David T.","t"
"David T.","vapply"
"David T.","which"
"David T.","sample"
"David T.","sum"
"David T.","rowSums"
"David T.","counts2mpc"
"David T.","create_null_dropout_model"
"David T.","element_text"
"David T.","estimate_missingdata"
"David T.","estimate_mu2sigma"
"David T.","estimate_undetected2molpercell"
"David T.","facet_wrap"
"David T.","geom_abline"
"David T.","geom_histogram"
"David T.","geom_point"
"David T.","geom_violin"
"David T.","ggplot"
"David T.","ggsave"
"David T.","ggtitle"
"David T.","isSpike"
"David T.","labs"
"David T.","melt"
"David T.","melt_spikeins"
"David T.","plot_alpha2mu"
"David T.","plot_mu2sigma"
"David T.","plot_obs2actual"
"David T.","sweep"
"David T.","unique"
"David T.","dnbinom"
"David T.","dpois"
"David T.","qnbinom"
"David T.","qpois"
"David T.","hist"
"David T.","rnbinom"
"David T.","rpois"
"David T.","sd"
"David T.","plot_spikein_fits"
"David T.","prepare_data"
"David T.","sample_models"
"David T.","scale_color_discrete"
"David T.","setkey"
"David T.","theme"
"David T.","write_noise_model"
"David T.","xlab"
"David T.","ylab"
"Kemal Akman","abs"
"Kemal Akman","apply"
"Kemal Akman","as.double"
"Kemal Akman","addChrPosMeth"
"Kemal Akman","addRegionID"
"Kemal Akman","as.factor"
"Kemal Akman","as.integer"
"Kemal Akman","as.vector"
"Kemal Akman","basename"
"Kemal Akman","c"
"Kemal Akman","cat"
"Kemal Akman","auswertung"
"Kemal Akman","commonRegions"
"Kemal Akman","cpg2regions"
"Kemal Akman","cpgregions_to_results"
"Kemal Akman","epimutationRegionStats"
"Kemal Akman","cbind"
"Kemal Akman","cumsum"
"Kemal Akman","data.frame"
"Kemal Akman","dim"
"Kemal Akman","file.path"
"Kemal Akman","getwd"
"Kemal Akman","is.na"
"Kemal Akman","lapply"
"Kemal Akman","length"
"Kemal Akman","list"
"Kemal Akman","load"
"Kemal Akman","matrix"
"Kemal Akman","max"
"Kemal Akman","min"
"Kemal Akman","names"
"Kemal Akman","ncol"
"Kemal Akman","nrow"
"Kemal Akman","order"
"Kemal Akman","outer"
"Kemal Akman","paste"
"Kemal Akman","rbind"
"Kemal Akman","rep"
"Kemal Akman","return"
"Kemal Akman","rm"
"Kemal Akman","round"
"Kemal Akman","rowSums"
"Kemal Akman","save"
"Kemal Akman","filterMaxCoverage"
"Kemal Akman","filterMinCoverage"
"Kemal Akman","generate.table"
"Kemal Akman","getDemethylatingEpimutationSites2"
"Kemal Akman","getEpimutationRate"
"Kemal Akman","getMethylatingEpimutationSites2"
"Kemal Akman","koeff"
"Kemal Akman","likr"
"Kemal Akman","matrixreadout"
"Kemal Akman","MethCallGetCorrectedRegion"
"Kemal Akman","positionsReadCSV"
"Kemal Akman","printEpimutStats"
"Kemal Akman","priorr"
"Kemal Akman","statistiken"
"Kemal Akman","seq"
"Kemal Akman","sort"
"Kemal Akman","stop"
"Kemal Akman","stopifnot"
"Kemal Akman","sum"
"Kemal Akman","table"
"Kemal Akman","tapply"
"Kemal Akman","unique"
"Kemal Akman","unlist"
"Kemal Akman","Vectorize"
"Kemal Akman","which"
"Kemal Akman","which.min"
"Kemal Akman","dbeta"
"Kemal Akman","dbinom"
"Kemal Akman","median"
"Kemal Akman","intersect"
"Kemal Akman","head"
"Kemal Akman","read.csv"
"Markus Merl","abs"
"Markus Merl","any"
"Markus Merl","as.character"
"Markus Merl","write.table"
"Markus Merl","BEclear"
"Markus Merl","BEclearParallel"
"Markus Merl","as.data.frame"
"Markus Merl","as.integer"
"Markus Merl","as.matrix"
"Markus Merl","as.numeric"
"Markus Merl","as.vector"
"Markus Merl","assign"
"Markus Merl","as"
"Markus Merl","calcBlockFrame"
"Markus Merl","calcMedians"
"Markus Merl","calcPositions"
"Markus Merl","calcPvals"
"Markus Merl","calcPvalues"
"Markus Merl","c"
"Markus Merl","cat"
"Markus Merl","cbind"
"Markus Merl","ceiling"
"Markus Merl","colnames"
"Markus Merl","data.frame"
"Markus Merl","file.remove"
"Markus Merl","floor"
"Markus Merl","getwd"
"Markus Merl","is.na"
"Markus Merl","length"
"Markus Merl","list"
"Markus Merl","load"
"Markus Merl","matrix"
"Markus Merl","max"
"Markus Merl","message"
"Markus Merl","names"
"Markus Merl","ncol"
"Markus Merl","norm"
"Markus Merl","nrow"
"Markus Merl","numeric"
"Markus Merl","order"
"Markus Merl","paste"
"Markus Merl","rbind"
"Markus Merl","remove"
"Markus Merl","rep"
"Markus Merl","return"
"Markus Merl","calcScore"
"Markus Merl","calcSummary"
"Markus Merl","clearBEgenes"
"Markus Merl","combineBlocks"
"Markus Merl","dlossp"
"Markus Merl","f"
"Markus Merl","loss"
"Markus Merl","nnz"
"Markus Merl","replaceWrongValues"
"Markus Merl","runner"
"Markus Merl","sfClusterApplyLB"
"Markus Merl","sfExport"
"Markus Merl","sfInit"
"Markus Merl","sfLibrary"
"Markus Merl","sfStop"
"Markus Merl","rownames"
"Markus Merl","save"
"Markus Merl","set.seed"
"Markus Merl","sort"
"Markus Merl","sqrt"
"Markus Merl","stop"
"Markus Merl","sum"
"Markus Merl","summary"
"Markus Merl","t"
"Markus Merl","table"
"Markus Merl","tapply"
"Markus Merl","unique"
"Markus Merl","unlist"
"Markus Merl","vector"
"Markus Merl","which"
"Markus Merl","ks.test"
"Markus Merl","median"
"Markus Merl","p.adjust"
"Markus Merl","rnorm"
"Markus Merl","boxplot"
"Markus Merl","mtext"
"Markus Merl","par"
"Iain Wallace","dim"
"Iain Wallace","rep"
"Iain Wallace","return"
"Iain Wallace","bca"
"Iain Wallace","Calculate_Row_Weights"
"Iain Wallace","cbind"
"Iain Wallace","length"
"Iain Wallace","levels"
"Iain Wallace","order"
"Iain Wallace","rev"
"Iain Wallace","dudi.pca"
"Iain Wallace","rownames"
"Andrea Komljenovic","any"
"Andrea Komljenovic","as.character"
"Andrea Komljenovic","as.factor"
"Andrea Komljenovic","packageVersion"
"Andrea Komljenovic",".annFUN.gene2Nodes"
"Andrea Komljenovic",".buildGraph.topology"
"Andrea Komljenovic","as.integer"
"Andrea Komljenovic","as.list"
"Andrea Komljenovic","as.logical"
"Andrea Komljenovic","as.numeric"
"Andrea Komljenovic","assign"
"Andrea Komljenovic","c"
"Andrea Komljenovic","setRefClass"
"Andrea Komljenovic","p.adjust"
"Andrea Komljenovic",".countsInNode"
"Andrea Komljenovic","buildInducedGraph"
"Andrea Komljenovic","buildLevels"
"Andrea Komljenovic","digest"
"Andrea Komljenovic","envAddEdge"
"Andrea Komljenovic","cat"
"Andrea Komljenovic","character"
"Andrea Komljenovic","eapply"
"Andrea Komljenovic","emptyenv"
"Andrea Komljenovic","exists"
"Andrea Komljenovic","factor"
"Andrea Komljenovic","get"
"Andrea Komljenovic","is.factor"
"Andrea Komljenovic","is.na"
"Andrea Komljenovic","is.null"
"Andrea Komljenovic","is.numeric"
"Andrea Komljenovic","lapply"
"Andrea Komljenovic","length"
"Andrea Komljenovic","levels"
"Andrea Komljenovic","list"
"Andrea Komljenovic","ls"
"Andrea Komljenovic","match"
"Andrea Komljenovic","max"
"Andrea Komljenovic","names"
"Andrea Komljenovic","new.env"
"Andrea Komljenovic","paste0"
"Andrea Komljenovic","rep"
"Andrea Komljenovic","return"
"Andrea Komljenovic","sapply"
"Andrea Komljenovic","split"
"Andrea Komljenovic","stop"
"Andrea Komljenovic","sum"
"Andrea Komljenovic","new"
"Andrea Komljenovic","representation"
"Andrea Komljenovic","getGraphRoot"
"Andrea Komljenovic","getURL"
"Andrea Komljenovic","isNodeInDAG"
"Andrea Komljenovic","mapGenes2GOgraph"
"Andrea Komljenovic","nodeData"
"Andrea Komljenovic","nodes"
"Andrea Komljenovic","numEdges"
"Andrea Komljenovic","numNodes"
"Andrea Komljenovic","setNodeInDAG"
"Andrea Komljenovic","subGraph"
"Andrea Komljenovic","try"
"Andrea Komljenovic","unique"
"Andrea Komljenovic","unlist"
"Andrea Komljenovic","warning"
"Andrea Komljenovic","setClass"
"Andrea Komljenovic","setdiff"
"Andrea Komljenovic","setMethod"
"Andrea Komljenovic","compareVersion"
"Andrea Komljenovic","download.file"
"Andrea Komljenovic","read.table"
"Andrea Komljenovic","intersect"
"Andrea Komljenovic","tail"
"Alex Lewin","abs"
"Alex Lewin","array"
"Alex Lewin","dim"
"Alex Lewin","FDRforTailPP"
"Alex Lewin","FDRplotTailPP"
"Alex Lewin","is.null"
"Alex Lewin","rep"
"Alex Lewin","return"
"Alex Lewin","rowsum"
"Alex Lewin","sqrt"
"Alex Lewin","t"
"Alex Lewin","qnorm"
"Alex Lewin","histTailPP"
"Alex Lewin","SimulateFromNull"
"Alex Lewin","TailPPCalculate"
"Alex Lewin","sum"
"Alex Lewin","rev"
"Alex Lewin","seq"
"Alex Lewin","sort"
"Alex Lewin","dev.cur"
"Alex Lewin","X11"
"Alex Lewin","pnorm"
"Alex Lewin","rgamma"
"Alex Lewin","rt"
"Alex Lewin","par"
"Alex Lewin","plot"
"Alex Lewin","plotCompare"
"Ernest Turro","as.double"
"Ernest Turro","as.integer"
"Ernest Turro","c"
"Ernest Turro","write.table"
"Ernest Turro","geneNames"
"Ernest Turro","sampleNames"
"Ernest Turro","cat"
"Ernest Turro","character"
"Ernest Turro","colnames"
"Ernest Turro","dim"
"Ernest Turro","dir.create"
"Ernest Turro","file.info"
"Ernest Turro","new"
"Ernest Turro","median"
"Ernest Turro","saveAffinityPlot.bgx"
"Ernest Turro","setupVars.bgx"
"Ernest Turro","indexProbes"
"Ernest Turro","integersToNiceString"
"Ernest Turro","mm"
"Ernest Turro","file.path"
"Ernest Turro","grep"
"Ernest Turro","gsub"
"Ernest Turro","is.na"
"Ernest Turro","length"
"Ernest Turro","match.arg"
"Ernest Turro","matrix"
"Ernest Turro","paste"
"Ernest Turro","return"
"Ernest Turro","rownames"
"Ernest Turro","scan"
"Ernest Turro","sort"
"Ernest Turro","stop"
"Ernest Turro","unique"
"Ernest Turro","unlink"
"Ernest Turro","vector"
"Ernest Turro","warning"
"Ernest Turro","write"
"Ernest Turro","which.max"
"Ernest Turro","nrow"
"Ernest Turro","pmax"
"Ernest Turro","pmin"
"Ernest Turro","rep"
"Ernest Turro","round"
"Ernest Turro","pData"
"Ernest Turro","pm"
"Ernest Turro","sumDownTo"
"Ernest Turro","sumUpTo"
"Ernest Turro","row.names"
"Ernest Turro","seq"
"Ernest Turro","sign"
"Ernest Turro","sqrt"
"Ernest Turro","substitute"
"Ernest Turro","sum"
"Ernest Turro","which"
"Ernest Turro","dev.off"
"Ernest Turro","pdf"
"Ernest Turro","density"
"Ernest Turro","glm"
"Ernest Turro","loess"
"Ernest Turro","poly"
"Ernest Turro","predict"
"Ernest Turro","quantile"
"Ernest Turro","par"
"Ernest Turro","plot"
"Ernest Turro","legend"
"Ernest Turro","lines"
"Ernest Turro","points"
"Ernest Turro","segments"
"Ernest Turro","setdiff"
"Ernest Turro","union"
"Ernest Turro","sd"
"Rich Savage","attr"
"Rich Savage","cut"
"Rich Savage","labels"
"Rich Savage","write.table"
"Rich Savage","bhc"
"Rich Savage","DiscretiseData"
"Rich Savage","length"
"Rich Savage","paste"
"Rich Savage","print"
"Rich Savage","rep"
"Rich Savage","vector"
"Rich Savage","log"
"Rich Savage","optimise"
"Rich Savage","RunBhcWrapper"
"Rich Savage","max"
"Rich Savage","min"
"Rich Savage","ncol"
"Rich Savage","nrow"
"Rich Savage","round"
"Rich Savage","sort"
"Rich Savage","stopifnot"
"Rich Savage","sum"
"Rich Savage","which"
"Rich Savage","dendrapply"
"Rich Savage","is.leaf"
"Pierre Gestraud","as.integer"
"Pierre Gestraud","attributes"
"Pierre Gestraud","c"
"Pierre Gestraud","browseURL"
"Pierre Gestraud","bicluster"
"Pierre Gestraud","exprs"
"Pierre Gestraud","class"
"Pierre Gestraud","length"
"Pierre Gestraud","list"
"Pierre Gestraud","matrix"
"Pierre Gestraud","names"
"Pierre Gestraud","ncol"
"Pierre Gestraud","new"
"Pierre Gestraud","phyper"
"Pierre Gestraud","geneIds"
"Pierre Gestraud","geneIdType"
"Pierre Gestraud","GeneSet"
"Pierre Gestraud","mapIdentifiers"
"Pierre Gestraud","mt.rawp2adjp"
"Pierre Gestraud","nrow"
"Pierre Gestraud","order"
"Pierre Gestraud","return"
"Pierre Gestraud","rownames"
"Pierre Gestraud","vector"
"Pierre Gestraud","options"
"Pierre Gestraud","stop"
"Pierre Gestraud","summary"
"Pierre Gestraud","summary.factor"
"Pierre Gestraud","which"
"Pierre Gestraud","search"
"Pierre Gestraud","sub"
"Pierre Gestraud","substr"
"Pierre Gestraud","sum"
"Pierre Gestraud","unlist"
"Pierre Gestraud","write"
"Pierre Gestraud","dev.off"
"Pierre Gestraud","png"
"Pierre Gestraud","axis"
"Pierre Gestraud","matplot"
"Pierre Gestraud","par"
"Pierre Gestraud","plot"
"Ahrim Youn","abs"
"Ahrim Youn","as.character"
"Ahrim Youn","as.data.frame"
"Ahrim Youn","bindingTF_per_peak"
"Ahrim Youn","calculate_enrich_p_per_TF"
"Ahrim Youn","as.matrix"
"Ahrim Youn","as.vector"
"Ahrim Youn","c"
"Ahrim Youn","cbind"
"Ahrim Youn","colSums"
"Ahrim Youn","exp"
"Ahrim Youn","df0"
"Ahrim Youn","enrich_p"
"Ahrim Youn","f"
"Ahrim Youn","f0"
"Ahrim Youn","findOverlaps"
"Ahrim Youn","length"
"Ahrim Youn","list"
"Ahrim Youn","log"
"Ahrim Youn","matrix"
"Ahrim Youn","max"
"Ahrim Youn","min"
"Ahrim Youn","names"
"Ahrim Youn","nrow"
"Ahrim Youn","paste"
"Ahrim Youn","print"
"Ahrim Youn","rbind"
"Ahrim Youn","rep"
"Ahrim Youn","return"
"Ahrim Youn","rownames"
"Ahrim Youn","seq_along"
"Ahrim Youn","split"
"Ahrim Youn","strsplit"
"Ahrim Youn","sum"
"Ahrim Youn","summary"
"Ahrim Youn","which"
"Ahrim Youn","GRangesList"
"Ahrim Youn","loglik_per_TF"
"Ahrim Youn","main_optim"
"Ahrim Youn","ppoibin"
"Ahrim Youn","total_lik"
"Ahrim Youn","binomial"
"Ahrim Youn","df"
"Ahrim Youn","glm"
"Ahrim Youn","optim"
"Ahrim Youn","phyper"
"Ahrim Youn","quantile"
"Ahrim Youn","t.test"
"Anand K.","abs"
"Anand K.","as.character"
"Anand K.","c"
"Anand K.","read.delim"
"Anand K.","DirectedHyperedge"
"Anand K.","edgeData"
"Anand K.","ifelse"
"Anand K.","is.null"
"Anand K.","lapply"
"Anand K.","length"
"Anand K.","max"
"Anand K.","min"
"Anand K.","hasArg"
"Anand K.","na.omit"
"Anand K.","edgeDataDefaults"
"Anand K.","graphBPH"
"Anand K.","graphDataDefaults"
"Anand K.","graphLayout"
"Anand K.","Hypergraph"
"Anand K.","names"
"Anand K.","paste"
"Anand K.","return"
"Anand K.","round"
"Anand K.","sapply"
"Anand K.","unique"
"Anand K.","unlist"
"Anand K.","unname"
"Anand K.","which"
"Anand K.","regmatches"
"Anand K.","rep"
"Anand K.","seq_along"
"Anand K.","seq_len"
"Anand K.","strsplit"
"Anand K.","substr"
"Anand K.","vector"
"Anand K.","nodeDataDefaults"
"Anand K.","intersect"
"Anand K.","str_detect"
"Tyler J.","find.package"
"Tyler J.","get"
"Tyler J.","inherits"
"Tyler J.","file_test"
"Tyler J.",".sortvector"
"Tyler J.","add.gdsn"
"Tyler J.","ls"
"Tyler J.","options"
"Tyler J.","try"
"Tyler J.","is.null"
"Tyler J.","length"
"Tyler J.","list"
"Tyler J.","new"
"Tyler J.","approx"
"Tyler J.","append.gdsn"
"Tyler J.","apply.gdsn"
"Tyler J.","closefn.gds"
"Tyler J.","computebeta.gds"
"Tyler J.","createfn.gds"
"Tyler J.","message"
"Tyler J.","paste0"
"Tyler J.","rank"
"Tyler J.","rep"
"Tyler J.","return"
"Tyler J.","round"
"Tyler J.","sample"
"Tyler J.","sort"
"Tyler J.","stop"
"Tyler J.","sum"
"Tyler J.","unlink"
"Tyler J.","which"
"Tyler J.","seq_len"
"Tyler J.","sqrt"
"Tyler J.","stopifnot"
"Tyler J.","svd"
"Tyler J.","Sys.time"
"Tyler J.","tryCatch"
"Tyler J.","unlist"
"Tyler J.","warning"
"Tyler J.","standardGeneric"
"Tyler J.","strsplit"
"Tyler J.","setGeneric"
"Tyler J.","setMethod"
"Tyler J.","dfsfit.gdsn"
"Tyler J.","getquantilesandranks"
"Tyler J.","index.gdsn"
"Tyler J.","objdesp.gdsn"
"Tyler J.","put.attr.gdsn"
"Tyler J.","read.gdsn"
"Tyler J.","methylated"
"Tyler J.","methylumIDATepic"
"Tyler J.","methylumiR"
"Tyler J.","openfn.gds"
"Tyler J.","pData"
"Tyler J.","pvals"
"Tyler J.","QCdata"
"Tyler J.","unmethylated"
"Tyler J.","iDMR"
"Tyler J.","ls.gdsn"
"Tyler J.","nanes.gds"
"Tyler J.","nanet.gds"
"Tyler J.","nasen.gds"
"Tyler J.","naten.gds"
"Tyler J.","t"
"Tyler J.","tolower"
"Tyler J.","na.omit"
"Tyler J.","quantile"
"Tyler J.","legend"
"Tyler J.","plot"
"Tyler J.","signature"
"Tyler J.","download.file"
"Tyler J.","untar"
"Tyler J.","write.csv"
"Tyler J.","outlyx"
"Tyler J.","pfilter.gds"
"Tyler J.","pwod.gdsn"
"Tyler J.","QCmethylated"
"Tyler J.","QCrownames"
"Tyler J.","QCunmethylated"
"Tyler J.","qn.gdsn"
"Tyler J.","readex.gdsn"
"Tyler J.","seabi"
"Tyler J.","subSet"
"Peter M.","basename"
"Peter M.","environmentIsLocked"
"Peter M.","file.path"
"Peter M.","head"
"Peter M.",".initBigMatrix"
"Peter M.","callSuper"
"Peter M.","invisible"
"Peter M.","is.environment"
"Peter M.","lockEnvironment"
"Peter M.","ls"
"Peter M.","names"
"Peter M.","return"
"Peter M.","is"
"Peter M.","options"
"Peter M.","attach.big.matrix"
"Peter M.","attach.resource"
"Peter M.","BigMatrix"
"Peter M.","checkReadOnly"
"Peter M.","describe"
"Peter M.","unlockBinding"
"Peter M.","missing"
"Peter M.","nlevels"
"Peter M.","paste"
"Peter M.","sort"
"Peter M.","stop"
"Peter M.","unique"
"Peter M.","is.null"
"Peter M.","is.numeric"
"Peter M.","length"
"Peter M.","list"
"Peter M.","match"
"Peter M.","match.arg"
"Peter M.","message"
"Peter M.","ncol"
"Peter M.","normalizePath"
"Peter M.","nrow"
"Peter M.","readRDS"
"Peter M.","require"
"Peter M.","rownames"
"Peter M.","saveRDS"
"Peter M.","setAs"
"Peter M.","setMethod"
"Peter M.","filebacked.big.matrix"
"Peter M.","getValues"
"Peter M.","is.big.matrix"
"Peter M.","is.nil"
"Peter M.","setValues"
"Peter M.","seq.int"
"Peter M.","sprintf"
"Peter M.","tryCatch"
"Peter M.","unlink"
"Peter M.","vapply"
"Peter M.","setRefClass"
"Peter M.","signature"
"Peter M.","setValidity"
"Tyler Backman","as.numeric"
"Tyler Backman","c"
"Tyler Backman","class"
"Tyler Backman",".activityByAids"
"Tyler Backman",".activityByCids"
"Tyler Backman","colnames"
"Tyler Backman","length"
"Tyler Backman","names"
"Tyler Backman","ncol"
"Tyler Backman","rep"
"Tyler Backman","return"
"Tyler Backman","as"
"Tyler Backman","standardGeneric"
"Tyler Backman",".allCategories"
"Tyler Backman",".allCids"
"Tyler Backman",".allTargets"
"Tyler Backman",".assaysByAids"
"Tyler Backman",".cidsByTarget"
"Tyler Backman","row.names"
"Tyler Backman","stop"
"Tyler Backman","tapply"
"Tyler Backman","duplicated"
"Tyler Backman","factor"
"Tyler Backman","grepl"
"Tyler Backman","is.character"
"Tyler Backman","is.logical"
"Tyler Backman","is.na"
"Tyler Backman","is.numeric"
"Tyler Backman","isTRUE"
"Tyler Backman","lapply"
"Tyler Backman","list"
"Tyler Backman","match"
"Tyler Backman","nrow"
"Tyler Backman","order"
"Tyler Backman","paste"
"Tyler Backman","rbind"
"Tyler Backman","rownames"
"Tyler Backman","sapply"
"Tyler Backman","sort"
"Tyler Backman","sort.int"
"Tyler Backman","split"
"Tyler Backman","new"
"Tyler Backman",".reverseTranslateTargetId"
"Tyler Backman",".screenedAtLeast"
"Tyler Backman",".sourcesByAids"
"Tyler Backman",".targetsByAids"
"Tyler Backman",".targetsByCid"
"Tyler Backman","allTargets"
"Tyler Backman","assaySetTargets"
"Tyler Backman","dbBegin"
"Tyler Backman","dbCommit"
"Tyler Backman","dbGetPreparedQuery"
"Tyler Backman","perTargetMatrix"
"Tyler Backman","queryBioassayDB"
"Tyler Backman","sparseMatrix"
"Tyler Backman","source_id"
"Tyler Backman","target_types"
"Tyler Backman","targets"
"Tyler Backman","xmlTreeParse"
"Tyler Backman","xpathSApply"
"Tyler Backman","sum"
"Tyler Backman","suppressWarnings"
"Tyler Backman","t"
"Tyler Backman","table"
"Tyler Backman","unique"
"Tyler Backman","unlist"
"Tyler Backman","warning"
"Tyler Backman","which"
"Tyler Backman","which.max"
"Tyler Backman","pbeta"
"Tyler Backman","sd"
"Tyler Backman","slot"
"Tyler Backman","intersect"
"R. Gentleman","c"
"R. Gentleman","library.dynam.unload"
"R. Gentleman","packageStartupMessage"
"R. Gentleman","packageDescription"
"R. Gentleman",".buildBiobaseOpts"
"R. Gentleman",".initContents"
"R. Gentleman","strwrap"
"R. Gentleman","data.frame"
"R. Gentleman","dirname"
"R. Gentleman","do.call"
"R. Gentleman","file.exists"
"R. Gentleman",".Call"
"R. Gentleman",".isValidVersion"
"R. Gentleman","updateObject"
"R. Gentleman","validMsg"
"R. Gentleman","MIAME"
"R. Gentleman","file.path"
"R. Gentleman","find.package"
"R. Gentleman","ifelse"
"R. Gentleman","is.na"
"R. Gentleman","match"
"R. Gentleman","order"
"R. Gentleman","paste0"
"R. Gentleman","readRDS"
"R. Gentleman","sprintf"
"R. Gentleman","system.file"
"R. Gentleman","tolower"
"R. Gentleman","is.list"
"R. Gentleman","is.logical"
"R. Gentleman","is.matrix"
"R. Gentleman","is.numeric"
"R. Gentleman","as"
"R. Gentleman","callGeneric"
"R. Gentleman","assayDataSubsetElements"
"R. Gentleman","channelNames"
"R. Gentleman","experimentData"
"R. Gentleman","ExpressionSet"
"R. Gentleman","featureData"
"R. Gentleman","isValidVersion"
"R. Gentleman","phenoData"
"R. Gentleman","protocolData"
"R. Gentleman","sampleNames"
"R. Gentleman","selectChannels"
"R. Gentleman","storageMode"
"R. Gentleman","varMetadata"
"R. Gentleman","multiassign"
"R. Gentleman","notes"
"R. Gentleman","pD2Rd"
"R. Gentleman","pData"
"R. Gentleman","is.vector"
"R. Gentleman","isOpen"
"R. Gentleman","load"
"R. Gentleman","matrix"
"R. Gentleman","nargs"
"R. Gentleman","ncol"
"R. Gentleman","parent.frame"
"R. Gentleman","readLines"
"R. Gentleman","regexpr"
"R. Gentleman","rep"
"R. Gentleman","callNextMethod"
"R. Gentleman","setdiff"
"R. Gentleman",".Versions"
"R. Gentleman","setAs"
"R. Gentleman","menu"
"R. Gentleman","winMenuAdd"
"R. Gentleman","winMenuAddItem"
"R. Gentleman","winMenuNames"
"R. Gentleman","intersect"
"R. Gentleman","combine"
"R. Gentleman","setReplaceMethod"
"R. Gentleman","preproc"
"R. Gentleman","pubMedIds"
"R. Gentleman","unsafeSetSlot"
"R. Gentleman","updateESetTo"
"R. Gentleman","updateOldESet"
"R. Gentleman","varLabels"
"R. Gentleman","rownames"
"R. Gentleman","save"
"R. Gentleman","shell.exec"
"R. Gentleman","split"
"R. Gentleman","storage.mode"
"R. Gentleman","substitute"
"R. Gentleman","substr"
"R. Gentleman","system"
"R. Gentleman","url"
"R. Gentleman","which"
"R. Gentleman","writeLines"
"R. Gentleman","signature"
"R. Gentleman","validObject"
"R. Gentleman","slotNames"
"R. Gentleman","union"
"Andrew J.","as.data.frame"
"Andrew J.","Filter"
"Andrew J.","getOption"
"Andrew J.","read.table"
"Andrew J.","as.data.table"
"Andrew J.","tbl_dt"
"Andrew J.","Negate"
"Andrew J.","paste"
"Andrew J.","rownames"
"Andrew J.","stop"
