"","Functions","n"
"1396","path_real",6
"1397","peq",6
"1398","phylo_",6
"1399","phyper",6
"1400","pickMarkerSubset",6
"1401","player",6
"1402","plm",6
"1403","plotCounts",6
"1404","plotmatrix",6
"1405","plotModel",6
"1406","plotPheno",6
"1407","plotPXG",6
"1408","plotRF",6
"1409","pmap",6
"1410","positions",6
"1411","postForm",6
"1412","postscript",6
"1413","predci",6
"1414","prepare_KEGG",6
"1415","preProcess",6
"1416","prettyNum",6
"1417","provenanceTrace",6
"1418","putRasterData",6
"1419","query_wp",6
"1420","queryHits",6
"1421","rawToChar",6
"1422","readBin",6
"1423","readBStringSet",6
"1424","readPeakFile",6
"1425","readTweets",6
"1426","renderD3heatmap",6
"1427","renderDygraph",6
"1428","renderHighchart",6
"1429","renderImage",6
"1430","renderValueBox",6
"1431","replaceqtl",6
"1432","restart",6
"1433","rfImpute",6
"1434","round_date",6
"1435","roundAdd",6
"1436","rowttests",6
"1437","rowwise",6
"1438","rtree",6
"1439","saveGIF",6
"1440","savePlot",6
"1441","scale_area",6
"1442","scale_colour_gradient2",6
"1443","score",6
"1444","screenreg",6
"1445","semi_join",6
"1446","seqlevels",6
"1447","seqnames",6
"1448","set_branch_length",6
"1449","setCPLConfigOption",6
"1450","smooth",6
"1451","SpatialGridDataFrame",6
"1452","SpatialLinesDataFrame",6
"1453","sqliteExtension",6
"1454","st_polygon",6
"1455","st_read",6
"1456","stat_density2d",6
"1457","stopApp",6
"1458","subjectHits",6
"1459","subs_",6
"1460","subset_data",6
"1461","supplementaryRows",6
"1462","symbols",6
"1463","tags",6
"1464","TERMID2EXTID",6
"1465","textarea",6
"1466","theme_nothing",6
"1467","throwFall",6
"1468","top_n",6
"1469","totalSS",6
"1470","tspcalc",6
"1471","twListToDF",6
"1472","unsetenv",6
"1473","unstrand",6
"1474","updateTabsetPanel",6
"1475","UseMethod",6
"1476","vgm",6
"1477","viewApply",6
"1478","vplayout",6
"1479","weekly_downloads",6
"1480","withinCov",6
"1481","withinSS",6
"1482","xmlValue",6
"1483","xpathApply",6
"1484","zipcodes",6
"1485","add",5
"1486","base64encode",5
"1487","betweenness",5
"1488","classIntervals",5
"1489","cluster",5
"1490","clusterEvalQ",5
"1491","clusterExport",5
"1492","control",5
"1493","dchisq",5
"1494","factorial",5
"1495","fixedPage",5
"1496","fixedRow",5
"1497","geom_density2d",5
"1498","getState",5
"1499","getURLContent",5
"1500","h6",5
"1501","hat",5
"1502","l_ply",5
"1503","lmer",5
"1504","locator",5
"1505","log1p",5
"1506","log2_trans",5
"1507","ma",5
"1508","manipulate",5
"1509","mdy",5
"1510","nexus",5
"1511","odbcDriverConnect",5
"1512","packageDescription",5
"1513","PCA",5
"1514","pf",5
"1515","plotlyOutput",5
"1516","poly",5
"1517","princomp",5
"1518","prp",5
"1519","qgraph",5
"1520","rchisq",5
"1521","read_delim",5
"1522","read_file",5
"1523","renderPlotly",5
"1524","scale_alpha_continuous",5
"1525","scale_colour_hue",5
"1526","scale_linetype_discrete",5
"1527","scale_shape",5
"1528","search",5
"1529","setlocale",5
"1530","setView",5
"1531","sflist2stanfit",5
"1532","slider",5
"1533","sqlQuery",5
"1534","stringdistmatrix",5
"1535","summarise_each",5
"1536","Sweave",5
"1537","theme_update",5
"1538","toggle",5
"1539","updateDateRangeInput",5
"1540","VarCorr",5
"1541","zoo",5
"1542","0",4
"1543","0_token",4
"1544","aceAutocomplete",4
"1545","acf",4
"1546","add_GO_Ontology",4
"1547","add_tooltip",4
"1548","addPolylines",4
"1549","addPopups",4
"1550","addSave",4
"1551","aggregateMetric",4
"1552","align",4
"1553","ALLEXTID",4
"1554","anomalies",4
"1555","AnomalyDetectionTs",4
"1556","aq_locations",4
"1557","arguments",4
"1558","arrange_",4
"1559","assert_that",4
"1560","assertClass",4
"1561","assigment_rndm",4
"1562","assign_child_status",4
"1563","assign_parent_status",4
"1564","atan2",4
"1565","autocorr",4
"1566","axis_props",4
"1567","bad_ps_fun",4
"1568","base64Encode",4
"1569","baseenv",4
"1570","bcp",4
"1571","beta",4
"1572","between",4
"1573","bfast",4
"1574","bin",4
"1575","binding",4
"1576","bivariate",4
"1577","body",4
"1578","brushed",4
"1579","buildArgList",4
"1580","bumpChart",4
"1581","button",4
"1582","bwplot",4
"1583","c_curves",4
"1584","calc_exp2",4
"1585","calcScore",4
"1586","calibrate_ds",4
"1587","callCIF",4
"1588","characteristics",4
"1589","checkAlleles",4
"1590","choice",4
"1591","CleanHomicides",4
"1592","cleanNames",4
"1593","clone",4
"1594","clusterProfile",4
"1595","clusters",4
"1596","codeml_mlc",4
"1597","coefplot",4
"1598","CohortRatePlot",4
"1599","colorBin",4
"1600","colorFactor",4
"1601","colorRamp",4
"1602","ComBat",4
"1603","comment",4
"1604","commits",4
"1605","compareClusterResult",4
"1606","compareorder",4
"1607","condense",4
"1608","ConnectFour",4
"1609","convertToDate",4
"1610","coord",4
"1611","corRatio",4
"1612","cospi",4
"1613","covar",4
"1614","cr_members",4
"1615","create_watermark",4
"1616","createFrame",4
"1617","createGDF",4
"1618","createTable",4
"1619","cur",4
"1620","curl_download",4
"1621","cvfun",4
"1622","CVvsMstar",4
"1623","dashboard_box",4
"1624","dataset_chooser_UI",4
"1625","dataset_summarizer_UI",4
"1626","datasetInput",4
"1627","dateOccur",4
"1628","dateReg",4
"1629","days",4
"1630","dbHasCompleted",4
"1631","dbReadTable",4
"1632","ddays",4
"1633","declareFunction",4
"1634","deeplearning",4
"1635","densityplot",4
"1636","Deprecated",4
"1637","determinant",4
"1638","dialogPage",4
"1639","dIn",4
"1640","disable",4
"1641","dispersiontest",4
"1642","doSim",4
"1643","dotPlot",4
"1644","dotplot_internal",4
"1645","download_KEGG",4
"1646","downloadPictures",4
"1647","drake_plan",4
"1648","dropBoard",4
"1649","dropRollCall",4
"1650","dunif",4
"1651","dyAnnotation",4
"1652","dyAxis",4
"1653","dyOptions",4
"1654","dyRangeSelector",4
"1655","dySeries",4
"1656","edge",4
"1657","elementNROWS",4
"1658","elide",4
"1659","emoji",4
"1660","enable",4
"1661","enframe",4
"1662","enrichMap",4
"1663","estimateDispersions",4
"1664","estimateGLMCommonDisp",4
"1665","estimateGLMTagwiseDisp",4
"1666","estimateGLMTrendedDisp",4
"1667","estimation",4
"1668","evalWithTimeout",4
"1669","expect_is",4
"1670","ExpressionSet",4
"1671","EXTID2NAME",4
"1672","EXTID2TERMID",4
"1673","extract_colours",4
"1674","extract_figs",4
"1675","extract_media",4
"1676","extract_osm_objects",4
"1677","extraInfo",4
"1678","failwith",4
"1679","FASTA",4
"1680","fct_lump",4
"1681","fct_rev",4
"1682","fData",4
"1683","fgets",4
"1684","Fgets",4
"1685","file_copy",4
"1686","filter_",4
"1687","finalizer",4
"1688","findElement",4
"1689","fitBounds",4
"1690","flag",4
"1691","flatten",4
"1692","flatten_chr",4
"1693","flowLayout",4
"1694","fold",4
"1695","formals",4
"1696","formatDaily",4
"1697","ForwardPropagation",4
"1698","frames",4
"1699","FRatio",4
"1700","fs",4
"1701","full",4
"1702","fullgrid",4
"1703","func",4
"1704","g",4
"1705","gBuffer",4
"1706","gcrma",4
"1707","gd_SetCategoryNames",4
"1708","gd_SetRasterColorTable",4
"1709","gd_SetStatistics",4
"1710","generateCharts",4
"1711","gentelellaPage",4
"1712","geoDA",4
"1713","geoJson",4
"1714","geojson_read",4
"1715","geom_hex",4
"1716","get_all",4
"1717","get_clade_position",4
"1718","get_data_from_KEGG_db",4
"1719","get_density",4
"1720","get_ds_filter",4
"1721","get_edge_index",4
"1722","get_exonList",4
"1723","get_geneSet_index",4
"1724","get_go_ontology",4
"1725","get_GO2TERM_table",4
"1726","get_intronList",4
"1727","get_MeSH_data",4
"1728","get_tree_view",4
"1729","get_xml",4
"1730","getAncestor",4
"1731","getAnnoStat",4
"1732","getBandColorTable",4
"1733","getBM",4
"1734","getChrCov",4
"1735","getData",4
"1736","getDescription",4
"1737","getDriverName",4
"1738","getElement",4
"1739","getFormParams",4
"1740","getIdx",4
"1741","getind",4
"1742","getInputs",4
"1743","getLikes",4
"1744","getLimitFollowers",4
"1745","getLimitStatuses",4
"1746","getLimitTimeline",4
"1747","getNames",4
"1748","getNamespace",4
"1749","getNearestFeatureIndicesAndDistances",4
"1750","getNetwork",4
"1751","getPage",4
"1752","getPromoters",4
"1753","getProp",4
"1754","getRasterBand",4
"1755","getScreenName",4
"1756","getsex",4
"1757","getSibling",4
"1758","getSpPPolygonsLabptSlots",4
"1759","getTitle",4
"1760","getUser",4
"1761","getUserMedia",4
"1762","getXcoord",4
"1763","getXcoord_no_length",4
"1764","getXcoord2",4
"1765","Gini",4
"1766","gIntersection",4
"1767","gLength",4
"1768","globalVariables",4
"1769","godata",4
"1770","groupOTU_",4
"1771","gs",4
"1772","gs_read",4
"1773","gzfile",4
"1774","h2o",4
"1775","hash",4
"1776","hasSlot",4
"1777","hc_add_series",4
"1778","hc_chart",4
"1779","hc_plotOptions",4
"1780","hc_theme_smpl",4
"1781","hc_tooltip",4
"1782","hc_yAxis",4
"1783","hcaes",4
"1784","hex_to_rgba",4
"1785","hex2RGB",4
"1786","hide_legend",4
"1787","hold",4
"1788","hoverOpts",4
"1789","i",4
"1790","idb_api_key",4
"1791","idb1",4
"1792","ideal",4
"1793","IDType",4
"1794","iframe",4
"1795","image_annotate",4
"1796","image_blur",4
"1797","image_charcoal",4
"1798","image_flip",4
"1799","image_flop",4
"1800","image_resize",4
"1801","image_rotate",4
"1802","image_trim",4
"1803","includeCSS",4
"1804","infinite",4
"1805","infoContentMethod",4
"1806","infographic_theme2",4
"1807","input",4
"1808","install_url",4
"1809","irlba",4
"1810","is_null",4
"1811","isCU",4
"1812","j_curves",4
"1813","J48",4
"1814","jittermap",4
"1815","jpeg",4
"1816","jplace",4
"1817","JS",4
"1818","kde2d",4
"1819","KEGG_convert",4
"1820","kegg_rest",4
"1821","kmer",4
"1822","labelChart",4
"1823","last",4
"1824","last_plot",4
"1825","layer_lines",4
"1826","layer_paths",4
"1827","layout_circular",4
"1828","Lc",4
"1829","leafletProxy",4
"1830","lengths",4
"1831","lf",4
"1832","likesDataToDF",4
"1833","literal",4
"1834","lk",4
"1835","lme",4
"1836","loadData",4
"1837","log_cat",4
"1838","logLoss",4
"1839","loss",4
"1840","make",4
"1841","make_graph",4
"1842","makeColorRamp",4
"1843","makeContrasts",4
"1844","makePlot",4
"1845","makeRepo",4
"1846","makeStripplot",4
"1847","manyboxplot",4
"1848","map_dfr",4
"1849","mapIds",4
"1850","markerpos",4
"1851","matches",4
"1852","mcparallel",4
"1853","menuSubItem",4
"1854","meta",4
"1855","microbenchmark",4
"1856","mime",4
"1857","mix",4
"1858","mma",4
"1859","model_wrapper_from_list",4
"1860","modelSeason",4
"1861","monkeylearn_classify",4
"1862","multi_selectUI",4
"1863","my_write_csv",4
"1864","NB",4
"1865","nbinomTest",4
"1866","NCOL",4
"1867","new_df",4
"1868","newCountDataSet",4
"1869","newvalue",4
"1870","next",4
"1871","nframe",4
"1872","no_na",4
"1873","nodeIds",4
"1874","normalizeBetweenArrays",4
"1875","o_curves",4
"1876","oauth_callback",4
"1877","oauth_endpoint",4
"1878","offset",4
"1879","ogrDrivers",4
"1880","ogrFIDs",4
"1881","ogrInfo",4
"1882","OGRSpatialRef",4
"1883","omitdiag",4
"1884","onBookmark",4
"1885","onRestore",4
"1886","onSessionEnded",4
"1887","Optimize",4
"1888","ordered",4
"1889","over",4
"1890","pacf",4
"1891","pageDataToDF",4
"1892","pairwiseAlignment",4
"1893","palette",4
"1894","pam",4
"1895","paml_rst_",4
"1896","param_check",4
"1897","param_combs",4
"1898","param_combs_corr",4
"1899","param_combs_jg",4
"1900","Parameters",4
"1901","parse_datetime",4
"1902","parts",4
"1903","path_length",4
"1904","pathtofile",4
"1905","pause",4
"1906","period_function_generator",4
"1907","persp",4
"1908","phytools_reroot",4
"1909","pick",4
"1910","pkgDep",4
"1911","plot_entities",4
"1912","plotGeno",4
"1913","plotMA",4
"1914","pointerType",4
"1915","pos",4
"1916","position_nudge",4
"1917","possibly",4
"1918","ppp",4
"1919","pre",4
"1920","precede",4
"1921","prepare_rules",4
"1922","prepareData",4
"1923","processTweets",4
"1924","profile_box",4
"1925","profile_nav",4
"1926","proj_def_bug_fix",4
"1927","projected",4
"1928","pulldiag",4
"1929","pvclust",4
"1930","pvrect",4
"1931","quakes_subset",4
"1932","quantiles",4
"1933","quartz",4
"1934","rainbow_hcl",4
"1935","rasterGrob",4
"1936","rating",4
"1937","reactivePoll",4
"1938","reactiveValuesToList",4
"1939","read_and_prep_data",4
"1940","read_shape",4
"1941","read_xml",4
"1942","readChar",4
"1943","readGDAL",4
"1944","readImage",4
"1945","regions",4
"1946","removeNumbers",4
"1947","removeSparseTerms",4
"1948","removeURL",4
"1949","removeWords",4
"1950","renderJsonedit",4
"1951","repository",4
"1952","reroot_node_mapping",4
"1953","residual",4
"1954","resume",4
"1955","reviseXdata",4
"1956","rnbinom",4
"1957","rollmean",4
"1958","round_any",4
"1959","rpart",4
"1960","run_mcmc",4
"1961","run_vdm",4
"1962","run_vdm_corr",4
"1963","run_vdm_jg",4
"1964","runmean",4
"1965","runValue",4
"1966","safely",4
"1967","sample_frac",4
"1968","sampling",4
"1969","saveChart",4
"1970","saveCharts",4
"1971","saveVideo",4
"1972","scale_color_",4
"1973","scale_color_gradient",4
"1974","scale_color_grey",4
"1975","scale_colour_discrete",4
"1976","scale_colour_grey",4
"1977","scale_x_chron",4
"1978","scale_y_comma",4
"1979","scaleNodeColor",4
"1980","scaleX_by_time_from_mrsd",4
"1981","scaleY",4
"1982","search_tweets",4
"1983","searchInstagram",4
"1984","searchListToDF",4
"1985","seastoyear",4
"1986","segmentBuilderUI",4
"1987","select_",4
"1988","selected_id",4
"1989","sepdata",4
"1990","seqlengths",4
"1991","sequenceDesignMatrix",4
"1992","set_options",4
"1993","set_units",4
"1994","setAs",4
"1995","setBookmarkExclude",4
"1996","setOldClass",4
"1997","setProvInfo",4
"1998","setTimeLimit",4
"1999","setup_tree_data",4
"2000","setValidity",4
"2001","showSigOfNodes",4
"2002","sideBarElement",4
"2003","simulation",4
"2004","sink",4
"2005","sinpi",4
"2006","SIS",4
"2007","sizeFactors",4
"2008","sortChrName",4
"2009","sourceCpp",4
"2010","SpatialGrid",4
"2011","spChFIDs",4
"2012","spin",4
"2013","spRbind",4
"2014","sqldf",4
"2015","src_sqlite",4
"2016","st_crs",4
"2017","st_geometry",4
"2018","st_intersection",4
"2019","st_sfc",4
"2020","st_union",4
"2021","stan_model",4
"2022","stan_to_coda",4
"2023","starts_with",4
"2024","stat_density",4
"2025","stateToAbbrev",4
"2026","stats",4
"2027","stdize",4
"2028","stdize2",4
"2029","stl",4
"2030","str_match_all",4
"2031","stripplot",4
"2032","strtoi",4
"2033","subs",4
"2034","subs_paml_rst",4
"2035","svd",4
"2036","tableGrob",4
"2037","talllayout",4
"2038","tallweb_plot",4
"2039","taxa2node",4
"2040","td",4
"2041","theme_bare",4
"2042","theme_dose",4
"2043","theme_null",4
"2044","theme_transparent",4
"2045","theme_tws",4
"2046","theme_void",4
"2047","theta",4
"2048","tibble_",4
"2049","tileLayer",4
"2050","tinycv",4
"2051","tkplot",4
"2052","tm_shape",4
"2053","today",4
"2054","toggleState",4
"2055","totalCov",4
"2056","tr",4
"2057","tradeoff",4
"2058","trans_breaks",4
"2059","tree_list",4
"2060","trimws",4
"2061","ul",4
"2062","unclass",4
"2063","units",4
"2064","unloadNamespace",4
"2065","updateAceEditor",4
"2066","usage",4
"2067","use_secret_file",4
"2068","useMart",4
"2069","user_data",4
"2070","userListToDF",4
"2071","validity",4
"2072","value",4
"2073","vd_tradeoff_corr",4
"2074","vd_tradeoff_jg",4
"2075","VDtradeoffFunction",4
"2076","Version",4
"2077","video_plot",4
"2078","videoThumbnail",4
"2079","vidlayout",4
"2080","vuong",4
"2081","walk2",4
"2082","wangMethod",4
"2083","warn",4
"2084","web_plot",4
"2085","write_PACKAGES",4
"2086","writeBin",4
"2087","writeGDAL",4
"2088","writeXStringSet",4
"2089","x",4
"2090","xgboost2",4
"2091","xkcdaxis",4
"2092","xlim_expand",4
"2093","xls",4
"2094","xmlAttrs",4
"2095","xmlGetAttr",4
"2096","xmlParseDoc",4
"2097","xmlRoot",4
"2098","xy2indices",4
"2099","years",4
"2100","ymd_h",4
"2101","zeroinfl",4
"2102","AbstractText",3
"2103","ace",3
"2104","active_tags",3
"2105","add_baseurl",3
"2106","add_credits",3
"2107","add_handler",3
"2108","add_header_txt",3
"2109","add_redirects",3
"2110","add_route",3
"2111","add_segments",3
"2112","add_trace",3
"2113","addBBands",3
"2114","AddImageFile",3
"2115","ANALYZE",3
"2116","animation_opts",3
"2117","ArticleTitle",3
"2118","ave",3
"2119","axisPhylo",3
"2120","barChart",3
"2121","barplot2",3
"2122","biplot",3
"2123","bmi",3
"2124","bquote",3
"2125","brew",3
"2126","brisk",3
"2127","by_phd",3
"2128","by_practicum",3
"2129","by_slice",3
"2130","by_year",3
"2131","ce",3
"2132","center",3
"2133","chartSeries",3
"2134","check_all",3
"2135","checkCommittee",3
"2136","checkfunc",3
"2137","cites_per_year_all",3
"2138","clean_md",3
"2139","cleanbib",3
"2140","clusplot",3
"2141","col_sums",3
"2142","collect",3
"2143","colouriser",3
"2144","CombineFiles",3
"2145","compare_to_dummy",3
"2146","console",3
"2147","contains",3
"2148","corCreate",3
"2149","coredata",3
"2150","corpus",3
"2151","coxsimLinear",3
"2152","crossprod_simple_triplet_matrix",3
"2153","datayears",3
"2154","ddjnonparam_ews",3
"2155","describe",3
"2156","display",3
"2157","distance",3
"2158","docklet_create",3
"2159","docklet_run",3
"2160","download_images",3
"2161","downsample",3
"2162","droplet_delete",3
"2163","dunnTest",3
"2164","element",3
"2165","eml_publish",3
"2166","eml_write",3
"2167","errorcheck",3
"2168","EUtilsGet",3
"2169","EUtilsSummary",3
"2170","EvaluateAUC",3
"2171","even",3
"2172","export_oww",3
"2173","extender",3
"2174","fetch_shots_by_player_id_and_season",3
"2175","FillDown",3
"2176","final",3
"2177","find_player_by_name",3
"2178","findColours",3
"2179","FindReplace",3
"2180","first_person_prop",3
"2181","fish_names",3
"2182","fit_generator",3
"2183","fix_citations",3
"2184","fix_codetags",3
"2185","fix_equations",3
"2186","fix_flickr",3
"2187","fix_gdp",3
"2188","flattenSquareMatrix",3
"2189","flow_images_from_directory",3
"2190","follows",3
"2191","fonts",3
"2192","format_format",3
"2193","fred_loop",3
"2194","fscaret",3
"2195","gdist",3
"2196","gDistance",3
"2197","get_categories",3
"2198","get_filenames",3
"2199","get_fish_pages",3
"2200","get_metadata",3
"2201","get_number",3
"2202","get_variable",3
"2203","getAbsolutePath",3
"2204","GetDiffDays",3
"2205","getImage",3
"2206","getImageInfo",3
"2207","getSizes",3
"2208","getSymbols",3
"2209","gg_error",3
"2210","gg_interaction",3
"2211","gg_minimal_depth",3
"2212","gg_minimal_vimp",3
"2213","gg_partial",3
"2214","gg_vimp",3
"2215","ggbiplot",3
"2216","ggchoro",3
"2217","ggcorr",3
"2218","ggdendrogram",3
"2219","gGeoCode",3
"2220","ggfit",3
"2221","gglag",3
"2222","ggpairs",3
"2223","ggtable",3
"2224","grand_tour",3
"2225","gs_add_row",3
"2226","gvisGeoChart",3
"2227","hclustvar",3
"2228","hhi",3
"2229","html_to_md",3
"2230","image_data_generator",3
"2231","imf_data",3
"2232","includeScript",3
"2233","ind2sub",3
"2234","IQR",3
"2235","keep",3
"2236","keras_model_sequential",3
"2237","knit2pdf",3
"2238","lab_brk",3
"2239","lagger",3
"2240","layer_conv_2d",3
"2241","layer_dense",3
"2242","layer_flatten",3
"2243","layer_max_pooling_2d",3
"2244","lbinom",3
"2245","likelihood",3
"2246","LoadArrayMask",3
"2247","loadBINdata",3
"2248","loadFunction",3
"2249","loadings",3
"2250","locale",3
"2251","localimages",3
"2252","logger_console",3
"2253","logsume",3
"2254","matplot",3
"2255","method",3
"2256","missmap",3
"2257","mosaicplot",3
"2258","multinom",3
"2259","my_data",3
"2260","my_data_citation",3
"2261","my_data_citation_term",3
"2262","my_data_citation_term_top_cited",3
"2263","my_data_term",3
"2264","myApply",3
"2265","mycol",3
"2266","myDept",3
"2267","myIcaPlot",3
"2268","nearZeroVar",3
"2269","neuralnet",3
"2270","new_tour",3
"2271","newbib",3
"2272","NIFTI",3
"2273","nodelabels",3
"2274","numbers",3
"2275","of_landings",3
"2276","of_species_codes",3
"2277","one_run_phi",3
"2278","one_run_phi_moran",3
"2279","one_run_theta_moran",3
"2280","one_run_theta_wz",3
"2281","ORlikelihood",3
"2282","package",3
"2283","panels",3
"2284","parApply",3
"2285","parLapply",3
"2286","parsed_content",3
"2287","paster",3
"2288","pbltest",3
"2289","PercChange",3
"2290","persp3d",3
"2291","pFtest",3
"2292","pgmm",3
"2293","pickBINdata",3
"2294","plasma",3
"2295","play500",3
"2296","plot_cts_ancestor",3
"2297","plot_jpeg",3
"2298","PolityGet",3
"2299","postResample",3
"2300","prep_fun",3
"2301","pretty_breaks",3
"2302","prob",3
"2303","pv",3
"2304","PvleProj",3
"2305","pwfdtest",3
"2306","qi_slimmer",3
"2307","query",3
"2308","QueryId",3
"2309","quetelet",3
"2310","randomNames",3
"2311","Rborist",3
"2312","reactiveText",3
"2313","readJPEG",3
"2314","remove_outliers",3
"2315","rename_private",3
"2316","renderChart",3
"2317","repalceNAsWithMean",3
"2318","replace",3
"2319","resid",3
"2320","rfsrc",3
"2321","right_join",3
"2322","rlogTransformation",3
"2323","rmse_fun__",3
"2324","roiStamperOuter",3
"2325","rollmean33",3
"2326","rollmean3f",3
"2327","rollmean3r",3
"2328","rotationMatrix",3
"2329","rrTest",3
"2330","rstandard",3
"2331","runit",3
"2332","RunPvle",3
"2333","sanitize",3
"2334","scale_y_reverse",3
"2335","scopus_all_archaeology_year_range",3
"2336","scopus_all_archaeology_year_range_term",3
"2337","se",3
"2338","set_logger",3
"2339","shift",3
"2340","showCols1",3
"2341","showOutput",3
"2342","sim_glm",3
"2343","simGG",3
"2344","simPower",3
"2345","slim_coefs",3
"2346","small",3
"2347","SMOTE",3
"2348","SpreadDummy",3
"2349","src_mysql",3
"2350","stat_poly_eq",3
"2351","str_match",3
"2352","strapply",3
"2353","stri_count_words",3
"2354","sub_ddj",3
"2355","summarise_if",3
"2356","task",3
"2357","tiplabels",3
"2358","title_with_subtitle",3
"2359","tour",3
"2360","toWebGL",3
"2361","tps",3
"2362","VarDrop",3
"2363","variable",3
"2364","varImp",3
"2365","vec2img",3
"2366","vif",3
"2367","vwReg",3
"2368","wes_palette",3
"2369","wiki_parse",3
"2370","withTags",3
"2371","world",3
"2372","write_bib",3
"2373","write_mds",3
"2374","writeWebGL",3
"2375","xlsx2",3
"2376","xml_attr",3
"2377","xor",3
"2378","zelig",3
"2379","`%in%`",2
"2380","`>`",2
"2381","=`",2
"2382","1",2
"2383","aa_change_hat",2
"2384","aa_change_profile",2
"2385","aa_revert_hat",2
"2386","AAString",2
"2387","abc",2
"2388","absolutePanel",2
"2389","abundance",2
"2390","acast",2
"2391","access_token_oauth",2
"2392","acfplot",2
"2393","actionLink",2
"2394","activity_frequency",2
"2395","activity_presence",2
"2396","add_2",2
"2397","add_angle_slanted",2
"2398","add_constraint",2
"2399","add_data",2
"2400","add_legend",2
"2401","add_new_line",2
"2402","add_panel",2
"2403","add_pseudo_nodelabel",2
"2404","add_shift",2
"2405","add_shift1",2
"2406","add_track",2
"2407","add_variable",2
"2408","add_vertices",2
"2409","addAbbrv",2
"2410","addAttributes",2
"2411","addDataFrame",2
"2412","addECMAScripts",2
"2413","addFunction",2
"2414","addGeneAnno",2
"2415","addgn",2
"2416","addLayersControl",2
"2417","addList",2
"2418","addloctocross",2
"2419","addmargins",2
"2420","addPath",2
"2421","addProvenance",2
"2422","addRasterImage",2
"2423","addTaskCallback",2
"2424","addToolTips",2
"2425","addTrend",2
"2426","addTwoBands",2
"2427","ade",2
"2428","adjustcolor",2
"2429","adminTable",2
"2430","AgeCohort",2
"2431","ageDensity",2
"2432","ageDensitySex",2
"2433","ageDensityYear",2
"2434","agglomerate",2
"2435","aggregate_data",2
"2436","aggregated",2
"2437","aheatmap",2
"2438","AIC",2
"2439","airtable",2
"2440","all_ks",2
"2441","allowed_metric_dim",2
"2442","alm_events",2
"2443","amatch",2
"2444","ancseq_paml_rst",2
"2445","animation",2
"2446","animationOptions",2
"2447","annoPie",2
"2448","annoPie3D",2
"2449","AnnotatedDataFrame",2
"2450","annotatePeak",2
"2451","annotation_raster",2
"2452","AnnotationTrack",2
"2453","anomalyData",2
"2454","anomalyData2",2
"2455","anomalyDetect",2
"2456","APCClean",2
"2457","aperm",2
"2458","append_extraInfo",2
"2459","applyLayoutDaylight",2
"2460","applyLinkage",2
"2461","aq_countries",2
"2462","aq_latest",2
"2463","arcBandBars",2
"2464","arcBands",2
"2465","arcDiagram",2
"2466","arcPies",2
"2467","Area",2
"2468","arg_max",2
"2469","argmaxgeno",2
"2470","args",2
"2471","arima",2
"2472","arrange_all",2
"2473","arrayInd",2
"2474","ARX",2
"2475","as_adjacency_matrix",2
"2476","as_date",2
"2477","as_edgelist",2
"2478","as_mapper",2
"2479","ascii",2
"2480","askForPassword",2
"2481","asNamespace",2
"2482","assays",2
"2483","assignInNamespace",2
"2484","atc2sim",2
"2485","attractive",2
"2486","AUC",2
"2487","authenticate",2
"2488","autoInvalidate",2
"2489","aveAveDist",2
"2490","avePerformance",2
"2491","B",2
"2492","backsolve",2
"2493","BackSub",2
"2494","barcodeplot",2
"2495","basehaz",2
"2496","batch",2
"2497","batchGetGSMsuppFile",2
"2498","bb2poly",2
"2499","BEAST",2
"2500","beta2m",2
"2501","betaqn",2
"2502","bigpar",2
"2503","BigWigFileViews",2
"2504","bigWigRanges",2
"2505","BigWigViews",2
"2506","bimd",2
"2507","binarize",2
"2508","bind_tf_idf",2
"2509","binOp",2
"2510","biocinstallRepos",2
"2511","bioMatrixLegend",2
"2512","bioNetLegend",2
"2513","bit",2
"2514","bitr",2
"2515","bitr_kegg",2
"2516","bitwShiftL",2
"2517","Block",2
"2518","blockquote",2
"2519","blockwiseModules",2
"2520","blue2yellow",2
"2521","bluepal",2
"2522","borders",2
"2523","bq_data",2
"2524","bq_dataset",2
"2525","bq_project",2
"2526","bq_tables",2
"2527","bqr_auth",2
"2528","bqr_query",2
"2529","branch",2
"2530","breakfactor",2
"2531","breakToDate",2
"2532","brewer_pal",2
"2533","brewtable_mod",2
"2534","bribes",2
"2535","bringtotop",2
"2536","bsAlert",2
"2537","bsButton",2
"2538","bsTooltip",2
"2539","BStringSet",2
"2540","bubbles",2
"2541","bubblesOutput",2
"2542","buff_geo",2
"2543","build",2
"2544","buy",2
"2545","BWT",2
"2546","cache_filesystem",2
"2547","CairoFonts",2
"2548","calc",2
"2549","calc_data",2
"2550","calc_dim",2
"2551","calc_genoprob",2
"2552","calc_met",2
"2553","calc_object",2
"2554","calc_pred",2
"2555","calcHypPI",2
"2556","calcPeriodChange",2
"2557","calculate_humidex",2
"2558","calculate_logLoss",2
"2559","calculate_performance",2
"2560","calculate_qvalue",2
"2561","callNextMethod",2
"2562","camelToDot",2
"2563","cap_at_93",2
"2564","cartogramDiffMap",2
"2565","cartogramMap",2
"2566","casualties",2
"2567","caught",2
"2568","caughtCpp",2
"2569","CausalImpact",2
"2570","causalImpactData",2
"2571","causalTable",2
"2572","CCcolors",2
"2573","cccp",2
"2574","cd",2
"2575","CDeathSeq",2
"2576","CDeathSeq1",2
"2577","CFILE",2
"2578","CGDS",2
"2579","chain",2
"2580","channel",2
"2581","character_beast",2
"2582","charToRaw",2
"2583","chat",2
