"","funkcja","czestosc","kategoria"
"2680","delete_OpenBabel__OBRingTyper",0,"A"
"2681","delete_OpenBabel__OBRotationData",0,"A"
"2682","delete_OpenBabel__OBRTree",0,"A"
"2683","delete_OpenBabel__OBSerialNums",0,"A"
"2684","delete_OpenBabel__OBSetData",0,"A"
"2685","delete_OpenBabel__OBSmartsMatcher",0,"A"
"2686","delete_OpenBabel__OBSmartsPattern",0,"A"
"2687","delete_OpenBabel__OBSqrtTbl",0,"A"
"2688","delete_OpenBabel__OBSSMatch",0,"A"
"2689","delete_OpenBabel__OBStopwatch",0,"A"
"2690","delete_OpenBabel__OBSymmetryData",0,"A"
"2691","delete_OpenBabel__OBTorsion",0,"A"
"2692","delete_OpenBabel__OBTorsionData",0,"A"
"2693","delete_OpenBabel__OBTypeTable",0,"A"
"2694","delete_OpenBabel__OBUnitCell",0,"A"
"2695","delete_OpenBabel__OBVectorData",0,"A"
"2696","delete_OpenBabel__OBVibrationData",0,"A"
"2697","delete_OpenBabel__OBVirtualBond",0,"A"
"2698","delete_OpenBabel__SpaceGroup",0,"A"
"2699","delete_OpenBabel__transform3d",0,"A"
"2700","delete_OpenBabel__vector3",0,"A"
"2701","delete_std__binary_functionT_char_const_p_char_const_p_bool_t",0,"A"
"2702","delete_std__pairT_unsigned_int_unsigned_int_t",0,"A"
"2703","delete_std__stringbuf",0,"A"
"2704","delete_std__vectorT_double_std__allocatorT_double_t_t",0,"A"
"2705","delete_std__vectorT_int_std__allocatorT_int_t_t",0,"A"
"2706","delete_std__vectorT_OpenBabel__OBBond_std__allocatorT_OpenBabel__OBBond_t_t",0,"A"
"2707","delete_std__vectorT_OpenBabel__OBGenericData_p_std__allocatorT_OpenBabel__OBGenericData_p_t_t",0,"A"
"2708","delete_std__vectorT_OpenBabel__OBInternalCoord_p_std__allocatorT_OpenBabel__OBInternalCoord_p_t_t",0,"A"
"2709","delete_std__vectorT_OpenBabel__OBMol_std__allocatorT_OpenBabel__OBMol_t_t",0,"A"
"2710","delete_std__vectorT_OpenBabel__OBResidue_std__allocatorT_OpenBabel__OBResidue_t_t",0,"A"
"2711","delete_std__vectorT_OpenBabel__OBRing_p_std__allocatorT_OpenBabel__OBRing_p_t_t",0,"A"
"2712","delete_std__vectorT_OpenBabel__OBRing_std__allocatorT_OpenBabel__OBRing_t_t",0,"A"
"2713","delete_std__vectorT_OpenBabel__vector3_std__allocatorT_OpenBabel__vector3_t_t",0,"A"
"2714","delete_std__vectorT_std__pairT_unsigned_int_unsigned_int_t_std__allocatorT_std__pairT_unsigned_int_unsigned_int_t_t_t",0,"A"
"2715","delete_std__vectorT_std__string_std__allocatorT_std__string_t_t",0,"A"
"2716","delete_std__vectorT_std__vectorT_int_std__allocatorT_int_t_t_std__allocatorT_std__vectorT_int_std__allocatorT_int_t_t_t_t",0,"A"
"2717","delete_std__vectorT_std__vectorT_OpenBabel__vector3_std__allocatorT_OpenBabel__vector3_t_t_std__allocatorT_std__vectorT_OpenBabel__vector3_std__allocatorT_OpenBabel__vector3_t_t_t_t",0,"A"
"2718","delete_std__vectorT_std__vectorT_std__pairT_unsigned_int_unsigned_int_t_std__allocatorT_std__pairT_unsigned_int_unsigned_int_t_t_t_std__allocatorT_std__vectorT_std__pairT_unsigned_int_unsigned_int_t_std__allocatorT_std__pairT_unsigned_int_unsigned_int_t_t_t_t_t",0,"A"
"2719","delete_std__vectorT_unsigned_int_std__allocatorT_unsigned_int_t_t",0,"A"
"2720","delete_stringp",0,"A"
"2721","deleteNodeAttribute",0,"A"
"2722","deleteResources",0,"A"
"2723","deleteWindow",0,"A"
"2724","DelRegionTooSmall",0,"A"
"2725","demultiplex",0,"A"
"2726","dend_branches_heights",0,"A"
"2727","denoisefun",0,"A"
"2728","densCols",0,"A"
"2729","densityplot",0,"A"
"2730","deriv",0,"A"
"2731","descendMin",0,"A"
"2732","describe",0,"A"
"2733","description",0,"A"
"2734","DESeq2Data",0,"A"
"2735","DESeqDataSetFromMatrix",0,"A"
"2736","DESeqTransform",0,"A"
"2737","design_matrix",0,"A"
"2738","detach",0,"A"
"2739","detect_pattern",0,"A"
"2740","dev.list",0,"A"
"2741","dev.print",0,"A"
"2742","dev.set",0,"A"
"2743","devAskNewPage",0,"A"
"2744","deviceIsInteractive",0,"A"
"2745","df",0,"A"
"2746","df0",0,"A"
"2747","dfs_tree",0,"A"
"2748","dfsfit.gdsn",0,"A"
"2749","diceSim",0,"A"
"2750","difference",0,"A"
"2751","diffreport",0,"A"
"2752","digest",0,"A"
"2753","diggitConditional",0,"A"
"2754","diggitMR",0,"A"
"2755","diggitRegulon",0,"A"
"2756","dims",0,"A"
"2757","DirectedHyperedge",0,"A"
"2758","direction",0,"A"
"2759","discreteNorm",0,"A"
"2760","DiscretiseData",0,"A"
"2761","disj",0,"A"
"2762","disjoin",0,"A"
"2763","disk.usage",0,"A"
"2764","dispatchMessage",0,"A"
"2765","dispersionFunction",0,"A"
"2766","dispFun",0,"A"
"2767","display",0,"A"
"2768","displayGraph",0,"A"
"2769","dist.fn",0,"A"
"2770","dist2",0,"A"
"2771","distance",0,"A"
"2772","distinct_",0,"A"
"2773","distmap",0,"A"
"2774","distribute",0,"A"
"2775","distSquared",0,"A"
"2776","divideEachSampleByChromosomes",0,"A"
"2777","divPalette",0,"A"
"2778","dks.pvalue",0,"A"
"2779","dlossp",0,"A"
"2780","dm_fitRegression",0,"A"
"2781","dm_HessianG",0,"A"
"2782","dmn",0,"A"
"2783","dmrFind",0,"A"
"2784","dmrPlotAnnotations",0,"A"
"2785","dmrPlotComparisons",0,"A"
"2786","dmSQTL_CRadjustment",0,"A"
"2787","dmSQTL_fit",0,"A"
"2788","dmultinom",0,"A"
"2789","DNAData",0,"A"
"2790","DNAse_UCSC",0,"A"
"2791","DNASeg",0,"A"
"2792","dnorm_poly_multibatch_pooled",0,"A"
"2793","dnorm_quantiles",0,"A"
"2794","dnorm_singlebatch",0,"A"
"2795","dnormmix",0,"A"
"2796","do.clusterComp",0,"A"
"2797","do.trans.probs",0,"A"
"2798","doALS",0,"A"
"2799","doc_date",0,"A"
"2800","doCirclize",0,"A"
"2801","docType",0,"A"
"2802","doesFileLoadPackage",0,"A"
"2803","doesManPageHaveRunnableExample",0,"A"
"2804","doGET",0,"A"
"2805","doJACCit",0,"A"
"2806","done",0,"A"
"2807","dosmooth",0,"A"
"2808","dotchart",0,"A"
"2809","doTransform",0,"A"
"2810","downCueGraph",0,"A"
"2811","download_ctd_genes",0,"A"
"2812","download_url",0,"A"
"2813","downloadHandler",0,"A"
"2814","downloadKEGGPathwayList",0,"A"
"2815","downloadResource",0,"A"
"2816","doZtrans.merge",0,"A"
"2817","doZtrans.single",0,"A"
"2818","dpareto",0,"A"
"2819","dPdW",0,"A"
"2820","dPhidPcp",0,"A"
"2821","draw.d",0,"A"
"2822","draw.key",0,"A"
"2823","draw.plot.axis.data",0,"A"
"2824","draw.plot.linesconnection",0,"A"
"2825","draw.scale",0,"A"
"2826","draw_annotation_legend",0,"A"
"2827","draw_annotations",0,"A"
"2828","draw_connection",0,"A"
"2829","draw_dendrogram",0,"A"
"2830","draw_headerplot",0,"A"
"2831","draw_legend",0,"A"
"2832","draw_main",0,"A"
"2833","draw_matrix",0,"A"
"2834","draw_polar_legend",0,"A"
"2835","draw_row_annotations",0,"A"
"2836","drawGene",0,"A"
"2837","drawMetaData",0,"A"
"2838","drawPlot",0,"A"
"2839","drawSegs",0,"A"
"2840","drawTreeGraph",0,"A"
"2841","drawVenn",0,"A"
"2842","drivers",0,"A"
"2843","dropGenes",0,"A"
"2844","dropRedundantTables",0,"A"
"2845","dsn",0,"A"
"2846","dst",0,"A"
"2847","dudi.pca",0,"A"
"2848","dump",0,"A"
"2849","duncan.test",0,"A"
"2850","duplicate",0,"A"
"2851","dustyScore",0,"A"
"2852","dyn.cross",0,"A"
"2853","e.divisive",0,"A"
"2854","ebayes",0,"A"
"2855","ec",0,"A"
"2856","ECDF",0,"A"
"2857","ecount",0,"A"
"2858","edge.qvalue",0,"A"
"2859","edgeDataDefaults",0,"A"
"2860","edgeMatrix",0,"A"
"2861","edit",0,"A"
"2862","eexpr",0,"A"
"2863","eg2sym",0,"A"
"2864","ego",0,"A"
"2865","eigenassays",0,"A"
"2866","eigenfeatures",0,"A"
"2867","ElemDesc_get",0,"A"
"2868","ElemDesc_set",0,"A"
"2869","ElemNo_get",0,"A"
"2870","ElemNo_set",0,"A"
"2871","ellipse",0,"A"
"2872","em.normal.partial.concordant",0,"A"
"2873","EM.starting.point",0,"A"
"2874","Emperical_P_down",0,"A"
"2875","Emperical_P_twosided",0,"A"
"2876","Emperical_P_up",0,"A"
"2877","emptyresult",0,"A"
"2878","encodeQuality",0,"A"
"2879","endIndex",0,"A"
"2880","ends_with",0,"A"
"2881","endsWith",0,"A"
"2882","enforceDeterministicResult",0,"A"
"2883","enquo",0,"A"
"2884","enrich_p",0,"A"
"2885","enumFromInteger",0,"A"
"2886","enumToInteger",0,"A"
"2887","envAddEdge",0,"A"
"2888","environmentName",0,"A"
"2889","epimutationRegionStats",0,"A"
"2890","equalizeLibSizes",0,"A"
"2891","eraseBioNetNode",0,"A"
"2892","err.msg",0,"A"
"2893","errorFun",0,"A"
"2894","es",0,"A"
"2895","esApply",0,"A"
"2896","esPSI",0,"A"
"2897","est.norm.med.search",0,"A"
"2898","EstDimRMT",0,"A"
"2899","estimate.bg.rate",0,"A"
"2900","estimate_missingdata",0,"A"
"2901","estimate_mu2sigma",0,"A"
"2902","estimate_undetected2molpercell",0,"A"
"2903","estimateBrownianComponent",0,"A"
"2904","estimateDisp",0,"A"
"2905","estimateDispersionsFit",0,"A"
"2906","estimateDispersionsGeneEst",0,"A"
"2907","estimateDistFun",0,"A"
"2908","estimatePath",0,"A"
"2909","estimateRefBias",0,"A"
"2910","estimateRho",0,"A"
"2911","estimates",0,"A"
"2912","estimateScalingFactors",0,"A"
"2913","estimateSizeFactorsForMatrix",0,"A"
"2914","estimateTagwiseDisp",0,"A"
"2915","estimateTechnicalNoise",0,"A"
"2916","etab_get",0,"A"
"2917","etab_set",0,"A"
"2918","euc.dist",0,"A"
"2919","eucdf",0,"A"
"2920","euclidean",0,"A"
"2921","EuclideanProjectionENNORM",0,"A"
"2922","eval_width",0,"A"
"2923","evalqForSubset",0,"A"
"2924","eWV",0,"A"
"2925","exactMass_OB",0,"A"
"2926","exactTest",0,"A"
"2927","excludeEigenfeatures",0,"A"
"2928","excounts",0,"A"
"2929","exon.changepoint",0,"A"
"2930","exonsByOverlaps",0,"A"
"2931","exonsToIntrons",0,"A"
"2932","expand_Nindex_RangeNSBS",0,"A"
"2933","ExpandData",0,"A"
"2934","ExperimentHub",0,"A"
"2935","experimentList",0,"A"
"2936","expit",0,"A"
"2937","explodeCigarOpLengths",0,"A"
"2938","exportbfc",0,"A"
"2939","exportBigWigs",0,"A"
"2940","exportToFile",0,"A"
"2941","expr_data",0,"A"
"2942","exprset.log",0,"A"
"2943","exprsUndeterminedLabel",0,"A"
"2944","expungeNA",0,"A"
"2945","extend",0,"A"
"2946","extendrange",0,"A"
"2947","extends",0,"A"
"2948","extract_array",0,"A"
"2949","extract_feat_acc",0,"A"
"2950","extractBinding",0,"A"
"2951","extractGOFromAnnotation",0,"A"
"2952","extractList",0,"A"
"2953","extractNAMESPACEFromTarball",0,"A"
"2954","extractPvalTable",0,"A"
"2955","extractRowColumn",0,"A"
"2956","extractTopLevelFiles",0,"A"
"2957","extractTransitions",0,"A"
"2958","f.enrProcess",0,"A"
"2959","f.getCoeff_sm",0,"A"
"2960","f.getPval_anova",0,"A"
"2961","f.getPval_sm",0,"A"
"2962","f.PackGMT",0,"A"
"2963","f.readConfig",0,"A"
"2964","f.readData",0,"A"
"2965","f.testGLM_unit",0,"A"
"2966","f.testGLM_wrap",0,"A"
"2967","f_eval",0,"A"
"2968","f1",0,"A"
"2969","factor2char",0,"A"
"2970","factorial",0,"A"
"2971","fasta.seqlengths",0,"A"
"2972","fastLmPure",0,"A"
"2973","fastMatch",0,"A"
"2974","fastWidth",0,"A"
"2975","fbum",0,"A"
"2976","fbumLL",0,"A"
"2977","fc",0,"A"
"2978","FDRforTailPP",0,"A"
"2979","FDRplotTailPP",0,"A"
"2980","FDRresults",0,"A"
"2981","fdrThreshold",0,"A"
"2982","fdrtool",0,"A"
"2983","feature_generation",0,"A"
"2984","featureColorMap",0,"A"
"2985","featureCounts",0,"A"
"2986","featureCTD",0,"A"
"2987","featureDIPRODB",0,"A"
"2988","featureDOMAIN",0,"A"
"2989","featureFragmentComposition",0,"A"
"2990","featureGapPairComposition",0,"A"
"2991","featureHydro",0,"A"
"2992","featureIDs",0,"A"
"2993","featureMatrix",0,"A"
"2994","featurePseudoAAComp",0,"A"
"2995","featurePSSM",0,"A"
"2996","features",0,"A"
"2997","featuresb",0,"A"
"2998","featuresg",0,"A"
"2999","fetch",0,"A"
"3000","fetchCellbase",0,"A"
"3001","ffapply",0,"A"
"3002","ffListOut",0,"A"
"3003","fforder",0,"A"
"3004","ffVecOut",0,"A"
"3005","fields",0,"A"
"3006","fig2dev",0,"A"
"3007","file_path_as_absolute",0,"A"
"3008","filename",0,"A"
"3009","fileParser",0,"A"
"3010","fillAndReorderBy",0,"A"
"3011","fillCol",0,"A"
"3012","fillHashTable",0,"A"
"3013","fillMatrixList",0,"A"
"3014","fillRow",0,"A"
"3015","filter_",0,"A"
"3016","filter_chr",0,"A"
"3017","filter_dataset",0,"A"
"3018","filter_genomicRegions",0,"A"
"3019","filter_MaxQuant",0,"A"
"3020","filter_missval",0,"A"
"3021","filter_regions",0,"A"
"3022","filter1allele",0,"A"
"3023","filter2",0,"A"
"3024","filterBkpStep",0,"A"
"3025","filterMaxCoverage",0,"A"
"3026","filterMinCoverage",0,"A"
"3027","filterMulti",0,"A"
"3028","filterPeaks",0,"A"
"3029","FilterRules",0,"A"
"3030","filtersnr",0,"A"
"3031","filterSNR",0,"A"
"3032","filterType",0,"A"
"3033","final",0,"A"
"3034","finalNrMatch",0,"A"
"3035","finalPWM",0,"A"
"3036","find",0,"A"
"3037","find.col.index",0,"A"
"3038","find.hmm.states",0,"A"
"3039","find_idx_to_update",0,"A"
"3040","find_neighbors",0,"A"
"3041","findAdducts",0,"A"
"3042","findCompoundsByX",0,"A"
"3043","findCovMaxPos",0,"A"
"3044","findFileIdx",0,"A"
"3045","findGenesAllZero",0,"A"
"3046","findInput",0,"A"
"3047","findIsotopes",0,"A"
"3048","findIsotopesPspec",0,"A"
"3049","findLocus",0,"A"
"3050","findMCR",0,"A"
"3051","findMode",0,"A"
"3052","findOutliers",0,"A"
"3053","findOutput",0,"A"
"3054","findPrimaryClusters",0,"A"
"3055","findPrimaryClustersDensity",0,"A"
"3056","findQuaternaryCluster",0,"A"
"3057","findQuaternaryClusterDensity",0,"A"
"3058","findRegions",0,"A"
"3059","findRoots",0,"A"
"3060","findSecondaryClusters",0,"A"
"3061","findSecondaryClustersDensity",0,"A"
"3062","findSpan",0,"A"
"3063","findStrandInvaders",0,"A"
"3064","findSymbolInParsedCode",0,"A"
"3065","findTertiaryClusters",0,"A"
"3066","findTertiaryClustersDensity",0,"A"
"3067","fingerprint_OB",0,"A"
"3068","finishArgCheck",0,"A"
"3069","fishersMethod",0,"A"
"3070","fishersTrans",0,"A"
"3071","fit.model",0,"A"
"3072","fit_transform",0,"A"
"3073","fitBeta",0,"A"
"3074","fitDisp",0,"A"
"3075","fitDispGrid",0,"A"
"3076","fitdistr",0,"A"
"3077","fitInfo",0,"A"
"3078","fitLQ1.LS",0,"A"
"3079","fitLQ1.LSfr",0,"A"
"3080","fitLQ1.ML",0,"A"
"3081","fitModel",0,"A"
"3082","fitNbinomGLMsForMatrix",0,"A"
"3083","fitpeaks",0,"A"
"3084","fitPiecewiseLinreg",0,"A"
"3085","fixedRow",0,"A"
"3086","fixHeaderAndGo",0,"A"
"3087","flagint_to_bit",0,"A"
"3088","flank",0,"A"
"3089","flatVSflat",0,"A"
"3090","flik",0,"A"
"3091","floating.pie",0,"A"
"3092","flog",0,"A"
"3093","flog.appender",0,"A"
"3094","flog.info",0,"A"
"3095","flowClust",0,"A"
"3096","flowclust_step1",0,"A"
"3097","flowclust_step2",0,"A"
"3098","flowMeans",0,"A"
"3099","flowObj",0,"A"
"3100","fLR",0,"A"
"3101","fLR2",0,"A"
"3102","fmt",0,"A"
"3103","Fn",0,"A"
"3104","Fnn",0,"A"
"3105","follow",0,"A"
"3106","forEachMol",0,"A"
"3107","forestplot",0,"A"
"3108","formalArgs",0,"A"
"3109","format.pval",0,"A"
"3110","formatFragmentData",0,"A"
"3111","formatStrand",0,"A"
"3112","formatstring",0,"A"
"3113","formatStyle",0,"A"
"3114","fourierscore",0,"A"
"3115","foverlaps",0,"A"
"3116","fpSimOrig",0,"A"
"3117","fraction",0,"A"
"3118","fractions",0,"A"
"3119","fragment",0,"A"
"3120","freezePane",0,"A"
"3121","frma",0,"A"
"3122","fromXStringViewsToStringSet",0,"A"
"3123","full_join",0,"A"
"3124","func.compute.p",0,"A"
"3125","func.next.sample",0,"A"
"3126","funcName",0,"A"
"3127","funs",0,"A"
"3128","fvarMetadata",0,"A"
"3129","fviz_pca_ind",0,"A"
"3130","G_Pal",0,"A"
"3131","GAD_UCSC",0,"A"
"3132","gadgetTitleBar",0,"A"
"3133","gage",0,"A"
"3134","gamma",0,"A"
"3135","gamma1.to.lambda",0,"A"
"3136","gapAllowed",0,"A"
"3137","gaps",0,"A"
"3138","gather_assign_results",0,"A"
"3139","gatherChains",0,"A"
"3140","gcC",0,"A"
"3141","gcContent_UCSC",0,"A"
"3142","gcCorrectBafLrrList",0,"A"
"3143","gcCorrectBeadStudioSet",0,"A"
"3144","gcCorrectMain",0,"A"
"3145","gcmessage",0,"A"
"3146","gcNorm",0,"A"
"3147","gcNormalize",0,"A"
"3148","gEdit",0,"A"
"3149","gEditList",0,"A"
"3150","genAFold",0,"A"
"3151","gene.plot",0,"A"
"3152","gene.trait.min",0,"A"
"3153","gene_plot",0,"A"
"3154","geneDetails",0,"A"
"3155","geneExpInCluster",0,"A"
"3156","GeneIdFilter",0,"A"
"3157","geneIdType",0,"A"
"3158","GeneMeanRatioMatrix",0,"A"
"3159","GenePositionMean",0,"A"
"3160","generate",0,"A"
"3161","generate.table",0,"A"
"3162","generate_annotation_colours",0,"A"
"3163","generate_breaks",0,"A"
"3164","generate_matrix",0,"A"
"3165","generate_metadata",0,"A"
"3166","generate_points",0,"A"
"3167","generate_row_annotation_colours",0,"A"
"3168","generateCodeHTMLs",0,"A"
"3169","generateDFofSamplesPerChromosomes",0,"A"
"3170","GenerateSynthetic",0,"A"
"3171","generatetype",0,"A"
"3172","GeneReviews_UCSC",0,"A"
"3173","genericSlot",0,"A"
"3174","genes_ENSEMBL",0,"A"
"3175","genesDE",0,"A"
"3176","geneSetGPS",0,"A"
"3177","geneSetTest",0,"A"
"3178","genesName_ENSEMBL",0,"A"
"3179","geneToExonProbeset",0,"A"
"3180","geneToTranscript",0,"A"
"3181","genfile.list",0,"A"
"3182","genfile.vec",0,"A"
"3183","genomeName",0,"A"
"3184","GenomicInteractions",0,"A"
"3185","genotypeCorrelation",0,"A"
"3186","genotypes",0,"A"
"3187","genQuery",0,"A"
"3188","genUniform",0,"A"
"3189","geo_mean",0,"A"
"3190","geom_arch",0,"A"
"3191","geom_errorbar",0,"A"
"3192","geom_hex",0,"A"
"3193","geom_label_repel",0,"A"
"3194","geom_linerange",0,"A"
"3195","geom_path",0,"A"
"3196","germline",0,"A"
"3197","get.adjust",0,"A"
"3198","get.binding.chr",0,"A"
"3199","get.bindingsite.ranges",0,"A"
"3200","get.cell.dists",0,"A"
"3201","get.chr",0,"A"
"3202","get.chr.len",0,"A"
"3203","get.chr.lengths",0,"A"
"3204","get.chr.site.count",0,"A"
"3205","get.chr.unique.read.count",0,"A"
"3206","get.cluster",0,"A"
"3207","get.consensus.subtypes",0,"A"
"3208","get.coverage",0,"A"
"3209","get.d",0,"A"
"3210","get.data.frame",0,"A"
"3211","get.data.frame.from.incidence",0,"A"
"3212","get.default.psi.k",0,"A"
"3213","get.edge.attribute",0,"A"
"3214","get.gpar",0,"A"
"3215","get.helland.subtypes",0,"A"
"3216","get.incidence",0,"A"
"3217","get.konecny.subtypes",0,"A"
"3218","get.lm",0,"A"
"3219","get.mgi.features",0,"A"
"3220","get.model.spec",0,"A"
"3221","get.n",0,"A"
"3222","get.NCIS.norm.factor",0,"A"
"3223","get.ntrain",0,"A"
"3224","get.pairs",0,"A"
"3225","get.pattern.variants",0,"A"
"3226","get.psi.code",0,"A"
"3227","get.site.count",0,"A"
"3228","get.site.count.hist",0,"A"
"3229","get.summary.code",0,"A"
"3230","get.unique.read.count.hist",0,"A"
"3231","get.variants",0,"A"
"3232","get.verhaak.subtypes",0,"A"
"3233","get_amplicon",0,"A"
"3234","get_ask_response",0,"A"
"3235","get_bins",0,"A"
"3236","get_composition",0,"A"
"3237","get_create_asked",0,"A"
"3238","get_credible_intervals",0,"A"
"3239","get_ctd_url",0,"A"
"3240","get_dist",0,"A"
"3241","get_ensembl_ids",0,"A"
"3242","get_errors_summary_stats_1_scenario",0,"A"
"3243","get_expression",0,"A"
"3244","get_genes_from_regions",0,"A"
"3245","get_hubs",0,"A"
"3246","get_IVs",0,"A"
"3247","get_left_primer",0,"A"
"3248","get_name",0,"A"
"3249","get_Nindex_lengths",0,"A"
"3250","get_Nindex_names_along",0,"A"
"3251","get_potential_swaps",0,"A"
"3252","get_results_adaptmle",0,"A"
"3253","get_right_primer",0,"A"
"3254","get_rightxlim",0,"A"
"3255","get_scenario_errors",0,"A"
"3256","get_signi_combis",0,"A"
"3257","get_transcripts_ensembl_db",0,"A"
"3258","get_true_freqs_1snp",0,"A"
"3259","get_update_asked",0,"A"
"3260","get_variability_boost_helper",0,"A"
"3261","get_verbose",0,"A"
"3262","getAC",0,"A"
"3263","getACVec",0,"A"
"3264","getAdjustments",0,"A"
"3265","getAllDependencies",0,"A"
"3266","getAllPeakEICs",0,"A"
"3267","getAllVars",0,"A"
"3268","getAlphabetFromCharacters",0,"A"
"3269","getAlphabetFromSequences",0,"A"
"3270","getAlteredSegs",0,"A"
"3271","getAlternativeSS",0,"A"
"3272","getAnnotationCorrelation_core",0,"A"
"3273","getAnnotationHubOption",0,"A"
"3274","getAnnotationSynergy_core",0,"A"
"3275","getAnnotBiomaRt",0,"A"
"3276","getans",0,"A"
"3277","getArrayCorrectWellAnno",0,"A"
"3278","getASB",0,"A"
"3279","getAUC",0,"A"
"3280","getAVD",0,"A"
"3281","getAxisAngle",0,"A"
"3282","getAxisLength",0,"A"
"3283","getBaalSlot",0,"A"
"3284","getBackgroundPeaks",0,"A"
"3285","getBadDeps",0,"A"
"3286","getBandIdx",0,"A"
"3287","getBaseMeansAndPooledVariances",0,"A"
"3288","getBaseMeansAndVariances",0,"A"
"3289","getBatchesFromOnDiskLongTable_old",0,"A"
"3290","getBest",0,"A"
"3291","getBeta",0,"A"
"3292","getbiasparam",0,"A"
"3293","getbiasTable",0,"A"
"3294","getBigWigFile",0,"A"
"3295","getBinaryURL",0,"A"
"3296","getBindCor",0,"A"
"3297","getBioColor",0,"A"
"3298","getBioMatrixDataAreaWidth",0,"A"
"3299","getBioMatrixGeneLabelWidth",0,"A"
"3300","getBioMatrixLegendHeight",0,"A"
"3301","getBioMatrixPlotAreaHeigth",0,"A"
"3302","getBioMatrixRemarkWidth",0,"A"
"3303","getBioMatrixSampleHeight",0,"A"
"3304","getBioMatrixSampleWidth",0,"A"
"3305","getBioNetGraph",0,"A"
"3306","getBootSignificanceF",0,"A"
"3307","getBootTestIndF",0,"A"
"3308","getBootTestxF",0,"A"
"3309","getBootTestyF",0,"A"
"3310","getBootTrainxF",0,"A"
"3311","getBootTrainyF",0,"A"
"3312","getBrainStars",0,"A"
"3313","getCancerStudies",0,"A"
"3314","getCaOmicsVColors",0,"A"
"3315","getCaOmicsVPlotTypes",0,"A"
"3316","getCaseLists",0,"A"
"3317","getCellResource",0,"A"
"3318","getCGHValue",0,"A"
"3319","getCharacter",0,"A"
"3320","getChipDimensions",0,"A"
"3321","getChromBounds",0,"A"
"3322","getChromBoxInfo",0,"A"
"3323","getChromLength",0,"A"
"3324","getChromMargin",0,"A"
"3325","getChromValue",0,"A"
"3326","getCI",0,"A"
"3327","getCNVHeatmapForEachSC",0,"A"
"3328","getCoefficientsIso",0,"A"
"3329","getColClasses",0,"A"
"3330","getColorShapeSelection",0,"A"
"3331","getCols",0,"A"
"3332","getCommonSegValues",0,"A"
"3333","getCompare1",0,"A"
"3334","getCompare2",0,"A"
"3335","getCompensationMatrices",0,"A"
"3336","getCompounds",0,"A"
"3337","getCompSelection",0,"A"
"3338","getConditions",0,"A"
"3339","getConnection",0,"A"
"3340","getContrast",0,"A"
"3341","getControlsPositions",0,"A"
"3342","getCoordinates",0,"A"
"3343","getCor",0,"A"
"3344","getCountTable",0,"A"
"3345","getCovariates",0,"A"
"3346","getCoverage",0,"A"
"3347","getCurlHandle",0,"A"
"3348","getData.1",0,"A"
"3349","getDatasetList",0,"A"
"3350","getDataSource",0,"A"
"3351","getDbConn",0,"A"
"3352","getDcfValues",0,"A"
"3353","getDelimiter",0,"A"
"3354","getDemethylatingEpimutationSites2",0,"A"
"3355","getDensity",0,"A"
"3356","getderivativeIons",0,"A"
"3357","getDeviationsFromRandom",0,"A"
"3358","getDispersion",0,"A"
"3359","getDistrs",0,"A"
"3360","getDocumentTitles",0,"A"
"3361","getDoParRegistered",0,"A"
"3362","getDoParWorkers",0,"A"
"3363","getDotInfo",0,"A"
"3364","getDynamicRange",0,"A"
"3365","getEffectsForGene",0,"A"
"3366","getEIC",0,"A"
"3367","getEICs",0,"A"
"3368","getelt",0,"A"
"3369","geteltmulti",0,"A"
"3370","getEpimutationRate",0,"A"
"3371","getES",0,"A"
"3372","getExogenousScalingFactor",0,"A"
"3373","getExonDists",0,"A"
"3374","getExperimentList",0,"A"
"3375","getExpName",0,"A"
"3376","getExprSummary",0,"A"
"3377","getFC",0,"A"
"3378","getffObj",0,"A"
"3379","getffObjNoOpen",0,"A"
"3380","getFID",0,"A"
"3381","getFileDelim",0,"A"
"3382","getFileExistsAttr",0,"A"
"3383","getFileHeader",0,"A"
"3384","getFileLinks",0,"A"
"3385","getFileType",0,"A"
"3386","getFlag",0,"A"
"3387","getForm",0,"A"
"3388","getFormalNames",0,"A"
"3389","getFragmentSet",0,"A"
"3390","getFragmentsPerPeak",0,"A"
"3391","getFunctionalAnnotationChart",0,"A"
"3392","getFunctionLengths",0,"A"
"3393","getGeneId",0,"A"
"3394","getGENEID",0,"A"
"3395","getGenes",0,"A"
"3396","getGeneticProfiles",0,"A"
"3397","getGenomeLength",0,"A"
"3398","getGEO",0,"A"
"3399","getGEOSuppFiles",0,"A"
"3400","getGlyphs",0,"A"
"3401","getGOLeftMenu",0,"A"
"3402","getGOLevel",0,"A"
"3403","GetGRanges",0,"A"
"3404","getGraphRoot",0,"A"
"3405","getGrowthRates",0,"A"
"3406","getHDF5DumpChunkDim",0,"A"
"3407","getHDF5DumpCompressionLevel",0,"A"
"3408","getHDF5DumpFile",0,"A"
"3409","getHDF5DumpName",0,"A"
"3410","getHeatmapColorScales",0,"A"
"3411","getHeatmapValue",0,"A"
"3412","getHelpButton",0,"A"
"3413","getHOMOLOG",0,"A"
"3414","getHub",0,"A"
"3415","getIdsFromFile",0,"A"
"3416","getImageDistance",0,"A"
"3417","getImportanceF",0,"A"
"3418","getImportPreparerClasses",0,"A"
"3419","getInfo",0,"A"
"3420","getInt",0,"A"
"3421","getIntegers",0,"A"
"3422","getIntens",0,"A"
