"","autor","funkcja","pakiet"
"2212","Jesper R","rep","package:base"
"2213","Jesper R","return","package:base"
"2214","Jesper R","strsplit","package:base"
"2215","Jesper R","substitute","package:base"
"2216","Jesper R","vapply","package:base"
"2217","Jesper R","vector","package:base"
"2218","Jesper R","rank","package:base"
"2219","Jesper R","end","package:stats"
"2220","Jesper R","start","package:stats"
"2221","Jesper R","lm","package:stats"
"2222","Jesper R","abline","package:graphics"
"2223","Jesper R","mtext","package:graphics"
"2224","Jesper R","plot","package:graphics"
"2225","Jesper R","plot.default","package:graphics"
"2226","Jesper R","points","package:graphics"
"2227","Jesper R","heat.colors","package:grDevices"
"2228","Jesper R","setGeneric","package:methods"
"2229","Jesper R","hist","package:graphics"
"2230","Jesper R","IRanges",NA
"2231","Jesper R","setMethod","package:methods"
"2232","Jesper R","signature","package:methods"
"2233","Jesper R","select",NA
"2234","Jesper R","indexBcf",NA
"2235","Jesper R","indexFa",NA
"2236","Jesper R","keepSeqlevels",NA
"2237","Jesper R","phase",NA
"2238","Jesper R","pileLettersAt",NA
"2239","Jesper R","PileupFiles",NA
"2240","Jesper R","ranges",NA
"2241","Jesper R","readGAlignments",NA
"2242","Jesper R","runValue",NA
"2243","Jesper R","scanBamFlag",NA
"2244","Jesper R","scanBamHeader",NA
"2245","Jesper R","ScanBamParam",NA
"2246","Jesper R","scanBamWhat",NA
"2247","Jesper R","scanBcf",NA
"2248","Jesper R","ScanBcfParam",NA
"2249","Jesper R","scanFa",NA
"2250","Jesper R","scanFaIndex",NA
"2251","Jesper R","seqinfo",NA
"2252","Jesper R","seqlevels",NA
"2253","Jesper R","seqlevelsInUse",NA
"2254","Jesper R","seqnames",NA
"2255","Jesper R","snpsByOverlaps",NA
"2256","Jesper R","strand",NA
"2257","Jesper R","unlist_as_integer",NA
"2258","Jesper R","width",NA
"2259","Jesper R","write.fasta",NA
"2260","Jesper R","seq","package:base"
"2261","Jesper R","seq.int","package:base"
"2262","Jesper R","seq_along","package:base"
"2263","Jesper R","suppressWarnings","package:base"
"2264","Jesper R","unname","package:base"
"2265","Jesper R","which","package:base"
"2266","Michael Love","array","package:base"
"2267","Michael Love","as.numeric","package:base"
"2268","Michael Love","as.vector","package:base"
"2269","Michael Love","alphafun",NA
"2270","Michael Love","calcVLMMBias",NA
"2271","Michael Love","c","package:base"
"2272","Michael Love","colnames","package:base"
"2273","Michael Love","colSums","package:base"
"2274","Michael Love","factor","package:base"
"2275","Michael Love","grep","package:base"
"2276","Michael Love","is.null","package:base"
"2277","Michael Love","is","package:methods"
"2278","Michael Love","model.matrix","package:stats"
"2279","Michael Love","getKmerFreqs",NA
"2280","Michael Love","getPositionalKmerFreqs",NA
"2281","Michael Love","getPositionalObsOverExp",NA
"2282","Michael Love","letterFrequency",NA
"2283","Michael Love","vcountPattern",NA
"2284","Michael Love","length","package:base"
"2285","Michael Love","list","package:base"
"2286","Michael Love","log","package:base"
"2287","Michael Love","matrix","package:base"
"2288","Michael Love","names",".GlobalEnv"
"2289","Michael Love","nrow","package:base"
"2290","Michael Love","numeric","package:base"
"2291","Michael Love","outer","package:base"
"2292","Michael Love","paste0","package:base"
"2293","Michael Love","rep","package:base"
"2294","Michael Love","return","package:base"
"2295","Michael Love","rowSums","package:base"
"2296","Michael Love","sapply","package:base"
"2297","Michael Love","seq_along","package:base"
"2298","Michael Love","seq_len","package:base"
"2299","Michael Love","stopifnot","package:base"
"2300","Michael Love","substr","package:base"
"2301","Michael Love","sum","package:base"
"2302","Michael Love","sweep","package:base"
"2303","Michael Love","t","package:base"
"2304","Michael Love","table","package:base"
"2305","Michael Love","which","package:base"
"2306","Michael Love","split","package:base"
"2307","Michael Love","unique","package:base"
"2308","Michael Love","as","package:methods"
"2309","Michael Love","width",NA
"2310","Michael Love","keepSeqlevels",NA
"2311","Michael Love","matchReadsToFraglist",NA
"2312","Michael Love","matchToDensity",NA
"2313","Michael Love","namesToModels",NA
"2314","Michael Love","readGAlignAlpine",NA
"2315","Michael Love","seqnames",NA
"2316","Michael Love","strand",NA
"2317","Michael Love","readGAlignments",NA
"2318","Michael Love","scanBamFlag",NA
"2319","Michael Love","ScanBamParam",NA
"2320","Michael Love","subjectHits",NA
"2321","Michael Love","SummarizedExperiment",NA
"2322","Michael Love","unlist","package:base"
"2323","Michael Love","system.time","package:base"
"2324","Michael Love","end","package:stats"
"2325","Michael Love","start","package:stats"
"2326","Michael Love","glm","package:stats"
"2327","Michael Love","poisson","package:stats"
"2328","Michael Love","abline","package:graphics"
"2329","Michael Love","legend","package:graphics"
"2330","Michael Love","lines","package:graphics"
"2331","Michael Love","par","package:graphics"
"2332","Michael Love","plot","package:graphics"
"2333","Michael Love","points","package:graphics"
"2334","Michael Love","segments","package:graphics"
"2335","Michael Love","first",NA
"2336","Michael Love","last",NA
"2337","Ron Wehrens","any","package:base"
"2338","Ron Wehrens","as.integer","package:base"
"2339","Ron Wehrens","as.numeric","package:base"
"2340","Ron Wehrens","capture.output","package:utils"
"2341","Ron Wehrens","doALS",NA
"2342","Ron Wehrens","getWavelength",NA
"2343","Ron Wehrens","attr","package:base"
"2344","Ron Wehrens","c","package:base"
"2345","Ron Wehrens","cat","package:base"
"2346","Ron Wehrens","class","package:base"
"2347","Ron Wehrens","col","package:base"
"2348","Ron Wehrens","diff","package:base"
"2349","Ron Wehrens","median","package:stats"
"2350","Ron Wehrens","matchCprofiles",NA
"2351","Ron Wehrens","merge.mats",NA
"2352","Ron Wehrens","dimnames","package:base"
"2353","Ron Wehrens","do.call","package:base"
"2354","Ron Wehrens","factor","package:base"
"2355","Ron Wehrens","is.na","package:base"
"2356","Ron Wehrens","is.null","package:base"
"2357","Ron Wehrens","lapply","package:base"
"2358","Ron Wehrens","length","package:base"
"2359","Ron Wehrens","list","package:base"
"2360","Ron Wehrens","matrix","package:base"
"2361","Ron Wehrens","max","package:base"
"2362","Ron Wehrens","min","package:base"
"2363","Ron Wehrens","names",".GlobalEnv"
"2364","Ron Wehrens","ncol","package:base"
"2365","Ron Wehrens","nlevels","package:base"
"2366","Ron Wehrens","nrow","package:base"
"2367","Ron Wehrens","on.exit","package:base"
"2368","Ron Wehrens","options","package:base"
"2369","Ron Wehrens","paste","package:base"
"2370","Ron Wehrens","rep","package:base"
"2371","Ron Wehrens","rev","package:base"
"2372","Ron Wehrens","row","package:base"
"2373","Ron Wehrens","rownames","package:base"
"2374","Ron Wehrens","sapply","package:base"
"2375","Ron Wehrens","seq","package:base"
"2376","Ron Wehrens","sort","package:base"
"2377","Ron Wehrens","stop","package:base"
"2378","Ron Wehrens","sum","package:base"
"2379","Ron Wehrens","sweep","package:base"
"2380","Ron Wehrens","t","package:base"
"2381","Ron Wehrens","table","package:base"
"2382","Ron Wehrens","tcrossprod","package:base"
"2383","Ron Wehrens","unique","package:base"
"2384","Ron Wehrens","unlist","package:base"
"2385","Ron Wehrens","warning","package:base"
"2386","Ron Wehrens","which","package:base"
"2387","Ron Wehrens","aggregate","package:stats"
"2388","Ron Wehrens","as.dist","package:stats"
"2389","Ron Wehrens","cor","package:stats"
"2390","Ron Wehrens","cutree","package:stats"
"2391","Ron Wehrens","hclust","package:stats"
"2392","Ron Wehrens","axTicks","package:graphics"
"2393","Ron Wehrens","box","package:graphics"
"2394","Ron Wehrens","contour","package:graphics"
"2395","Ron Wehrens","image","package:graphics"
"2396","Ron Wehrens","layout","package:graphics"
"2397","Ron Wehrens","matplot","package:graphics"
"2398","Ron Wehrens","par","package:graphics"
"2399","Ron Wehrens","plot","package:graphics"
"2400","Ron Wehrens","rect","package:graphics"
"2401","Ron Wehrens","text","package:graphics"
"2402","Ron Wehrens","title","package:graphics"
"2403","Ron Wehrens","terrain.colors","package:grDevices"
"2404","Ron Wehrens","fitpeaks",NA
"2405","Laurent Gautier","all","package:base"
"2406","Laurent Gautier","apply","package:base"
"2407","Laurent Gautier","as.integer","package:base"
"2408","Laurent Gautier","countduplicated",NA
"2409","Laurent Gautier","indexProbes",NA
"2410","Laurent Gautier","assign","package:base"
"2411","Laurent Gautier","cat","package:base"
"2412","Laurent Gautier","get","package:base"
"2413","Laurent Gautier","is.na","package:base"
"2414","Laurent Gautier","lapply","package:base"
"2415","Laurent Gautier","length","package:base"
"2416","Laurent Gautier","as","package:methods"
"2417","Laurent Gautier","update","package:stats"
"2418","Laurent Gautier","return","package:base"
"2419","Laurent Gautier","validCdfEnvAffy",NA
"2420","Laurent Gautier","wrapCdfEnvAffy",NA
"2421","Laurent Gautier","xy2index",NA
"2422","Laurent Gautier","xy2indices",NA
"2423","Laurent Gautier","matchPDict",NA
"2424","Laurent Gautier","ls","package:base"
"2425","Laurent Gautier","new.env","package:base"
"2426","Laurent Gautier","paste","package:base"
"2427","Laurent Gautier","rep","package:base"
"2428","Laurent Gautier","seq","package:base"
"2429","Laurent Gautier","stop","package:base"
"2430","Laurent Gautier","sum","package:base"
"2431","Laurent Gautier","unlist","package:base"
"2432","Laurent Gautier","warning","package:base"
"2433","Laurent Gautier","list","package:base"
"2434","Laurent Gautier","match","package:base"
"2435","Laurent Gautier","matrix","package:base"
"2436","Laurent Gautier","mget","package:base"
"2437","Laurent Gautier","missing","package:base"
"2438","Laurent Gautier","ncol","package:base"
"2439","Laurent Gautier","range","package:base"
"2440","Laurent Gautier","standardGeneric","package:base"
"2441","Laurent Gautier","stopifnot","package:base"
"2442","Laurent Gautier","is","package:methods"
"2443","Laurent Gautier","mmProbes",NA
"2444","Laurent Gautier","PDict",NA
"2445","Laurent Gautier","selectMatches",NA
"2446","Laurent Gautier","which","package:base"
"2447","Laurent Gautier","new","package:methods"
"2448","Laurent Gautier","plot","package:graphics"
"2449","Laurent Gautier","copyEnv",NA
"2450","Laurent Gautier","representation","package:methods"
"2451","Laurent Gautier","setAs","package:methods"
"2452","Laurent Gautier","setClass","package:methods"
"2453","Laurent Gautier","setGeneric","package:methods"
"2454","Laurent Gautier","setMethod","package:methods"
"2455","Laurent Gautier","signature","package:methods"
"2456","Dong Li",".C","package:base"
"2457","Dong Li","as.double","package:base"
"2458","Dong Li","as.integer","package:base"
"2459","Dong Li","EuclideanProjectionENNORM",NA
"2460","Dong Li","networkSimulation",NA
"2461","Dong Li","as.vector","package:base"
"2462","Dong Li","dim","package:base"
"2463","Dong Li","length","package:base"
"2464","Dong Li","list","package:base"
"2465","Dong Li","rep","package:base"
"2466","Dong Li","return","package:base"
"2467","Dong Li","runif","package:stats"
"2468","Dong Li","unlist","package:base"
"2469","Dong Li","sqrt","package:base"
"2470","Dong Li","sum","package:base"
"2471","Dong Li","t","package:base"
"2472","Dong Li","which","package:base"
"2473","Kornel Labun","any","package:base"
"2474","Kornel Labun","c","package:base"
"2475","Kornel Labun","dim","package:base"
"2476","Kornel Labun","capture.output","package:utils"
"2477","Kornel Labun","str_detect",NA
"2478","Kornel Labun","str_locate",NA
"2479","Kornel Labun","duplicated","package:base"
"2480","Kornel Labun","file.access","package:base"
"2481","Kornel Labun","grepl","package:base"
"2482","Kornel Labun","invisible","package:base"
"2483","Kornel Labun","is.na","package:base"
"2484","Kornel Labun","length","package:base"
"2485","Kornel Labun","as","package:methods"
"2486","Kornel Labun","complete.cases","package:stats"
"2487","Kornel Labun","revComp",NA
"2488","Kornel Labun","unit",NA
"2489","Kornel Labun","writePairwiseAlignments",NA
"2490","Kornel Labun","amplican_xlim",NA
"2491","Kornel Labun","amplicon_primers",NA
"2492","Kornel Labun","message","package:base"
"2493","Kornel Labun","return","package:base"
"2494","Kornel Labun","stop","package:base"
"2495","Kornel Labun","sum","package:base"
"2496","Kornel Labun","tolower","package:base"
"2497","Kornel Labun","toString","package:base"
"2498","Kornel Labun","unique","package:base"
"2499","Kornel Labun","which","package:base"
"2500","Kornel Labun","gsub","package:base"
"2501","Kornel Labun","I","package:base"
"2502","Kornel Labun","is.finite","package:base"
"2503","Kornel Labun","levels","package:base"
"2504","Kornel Labun","list","package:base"
"2505","Kornel Labun","match","package:base"
"2506","Kornel Labun","matrix","package:base"
"2507","Kornel Labun","max","package:base"
"2508","Kornel Labun","merge","package:base"
"2509","Kornel Labun","min","package:base"
"2510","Kornel Labun","names",".GlobalEnv"
"2511","Kornel Labun","nchar","package:base"
"2512","Kornel Labun","ncol","package:base"
"2513","Kornel Labun","nrow","package:base"
"2514","Kornel Labun","order","package:base"
"2515","Kornel Labun","paste0","package:base"
"2516","Kornel Labun","range","package:base"
"2517","Kornel Labun","initialize","package:methods"
"2518","Kornel Labun","is","package:methods"
"2519","Kornel Labun","annotate",NA
"2520","Kornel Labun","annotate_with_amplicon",NA
"2521","Kornel Labun","coord_flip",NA
"2522","Kornel Labun","cRamp",NA
"2523","Kornel Labun","cRampF",NA
"2524","Kornel Labun","dcast",NA
"2525","Kornel Labun","decode",NA
"2526","Kornel Labun","element_blank",NA
"2527","Kornel Labun","element_text",NA
"2528","Kornel Labun","geom_arch",NA
"2529","Kornel Labun","geom_bar",NA
"2530","Kornel Labun","geom_hline",NA
"2531","Kornel Labun","geom_point",NA
"2532","Kornel Labun","geom_polygon",NA
"2533","Kornel Labun","geom_rect",NA
"2534","Kornel Labun","geom_text",NA
"2535","Kornel Labun","geom_vline",NA
"2536","Kornel Labun","get_amplicon",NA
"2537","Kornel Labun","get_left_primer",NA
"2538","Kornel Labun","get_right_primer",NA
"2539","Kornel Labun","ggplot",NA
"2540","Kornel Labun","ggplot_deletions",NA
"2541","Kornel Labun","ggplot_insertions",NA
"2542","Kornel Labun","rbind","package:base"
"2543","Kornel Labun","rep","package:base"
"2544","Kornel Labun","replicate","package:base"
"2545","Kornel Labun","rev","package:base"
"2546","Kornel Labun","round","package:base"
"2547","Kornel Labun","rownames","package:base"
"2548","Kornel Labun","seq","package:base"
"2549","Kornel Labun","seq_len","package:base"
"2550","Kornel Labun","strsplit","package:base"
"2551","Kornel Labun","toupper","package:base"
"2552","Kornel Labun","trimws","package:base"
"2553","Kornel Labun","colorRamp","package:grDevices"
"2554","Kornel Labun","colorRampPalette","package:grDevices"
"2555","Kornel Labun","end","package:stats"
"2556","Kornel Labun","na.omit","package:stats"
"2557","Kornel Labun","start","package:stats"
"2558","Kornel Labun","rgb","package:grDevices"
"2559","Kornel Labun","new","package:methods"
"2560","Kornel Labun","prototype","package:methods"
"2561","Kornel Labun","representation","package:methods"
"2562","Kornel Labun","setClass","package:methods"
"2563","Kornel Labun","setClassUnion","package:methods"
"2564","Kornel Labun","str","package:utils"
"2565","Kornel Labun","anti_join",NA
"2566","Kornel Labun","setGeneric","package:methods"
"2567","Kornel Labun","ggplot_mismatches",NA
"2568","Kornel Labun","ggplotGrob",NA
"2569","Kornel Labun","gpar",NA
"2570","Kornel Labun","grid.arrange",NA
"2571","Kornel Labun","grid.draw",NA
"2572","Kornel Labun","group_to_selection",NA
"2573","Kornel Labun","gtable_add_cols",NA
"2574","Kornel Labun","gtable_add_grob",NA
"2575","Kornel Labun","guides",NA
"2576","Kornel Labun","IRanges",NA
"2577","Kornel Labun","labs",NA
"2578","Kornel Labun","melt",NA
"2579","Kornel Labun","merge_2_grobs",NA
"2580","Kornel Labun","merge_3_grobs",NA
"2581","Kornel Labun","merge_4_grobs",NA
"2582","Kornel Labun","mock_mm_df",NA
"2583","Kornel Labun","plot_amplicon",NA
"2584","Kornel Labun","range01",NA
"2585","Kornel Labun","restrict",NA
"2586","Kornel Labun","return_metaplot",NA
"2587","Kornel Labun","return_plot",NA
"2588","Kornel Labun","scale_alpha",NA
"2589","Kornel Labun","scale_colour_manual",NA
"2590","Kornel Labun","scale_fill_manual",NA
"2591","Kornel Labun","scale_size",NA
"2592","Kornel Labun","scale_x_continuous",NA
"2593","Kornel Labun","scale_y_continuous",NA
"2594","Kornel Labun","scale_y_reverse",NA
"2595","Kornel Labun","segmentsGrob",NA
"2596","Kornel Labun","set",NA
"2597","Kornel Labun","setDT",NA
"2598","Kornel Labun","setkeyv",NA
"2599","Kornel Labun","tableGrob",NA
"2600","Kornel Labun","theme",NA
"2601","Kornel Labun","theme_bw",NA
"2602","Kornel Labun","tracks",NA
"2603","Kornel Labun","triangulate_ranges",NA
"2604","Kornel Labun","ttheme_minimal",NA
"2605","Kornel Labun","unit.c",NA
"2606","Kornel Labun","unit.pmax",NA
"2607","Kornel Labun","upperGroups",NA
"2608","Kornel Labun","width",NA
"2609","Kornel Labun","xlab",NA
"2610","Kornel Labun","xlim",NA
"2611","Kornel Labun","ylab",NA
"2612","Kornel Labun","ylim",NA
"2613","Kornel Labun","setMethod","package:methods"
"2614","Kornel Labun","setValidity","package:methods"
"2615","Kornel Labun","shift",NA
"2616","Alicja Szabelska","abs","package:base"
"2617","Alicja Szabelska","apply","package:base"
"2618","Alicja Szabelska","as.character","package:base"
"2619","Alicja Szabelska","read.table","package:utils"
"2620","Alicja Szabelska",".escSpecialChars",NA
"2621","Alicja Szabelska",".getSNPSamples",NA
"2622","Alicja Szabelska","c","package:base"
"2623","Alicja Szabelska","cbind","package:base"
"2624","Alicja Szabelska","colnames","package:base"
"2625","Alicja Szabelska","data.frame","package:base"
"2626","Alicja Szabelska","factor","package:base"
"2627","Alicja Szabelska","file.rename","package:base"
"2628","Alicja Szabelska","hasArg","package:methods"
"2629","Alicja Szabelska",".loadLibs",NA
"2630","Alicja Szabelska",".setdiff.data.frame",NA
"2631","Alicja Szabelska","camelTest",NA
"2632","Alicja Szabelska","compareCoveragesReg",NA
"2633","Alicja Szabelska","foreach",NA
"2634","Alicja Szabelska","getwd","package:base"
"2635","Alicja Szabelska","is.null","package:base"
"2636","Alicja Szabelska","length","package:base"
"2637","Alicja Szabelska","list","package:base"
"2638","Alicja Szabelska","log2","package:base"
"2639","Alicja Szabelska","matrix","package:base"
"2640","Alicja Szabelska","merge","package:base"
"2641","Alicja Szabelska","names",".GlobalEnv"
"2642","Alicja Szabelska","ncol","package:base"
"2643","Alicja Szabelska","nrow","package:base"
"2644","Alicja Szabelska","order","package:base"
"2645","Alicja Szabelska","paste","package:base"
"2646","Alicja Szabelska","path.package","package:base"
"2647","Alicja Szabelska","print","package:base"
"2648","Alicja Szabelska","rank","package:base"
"2649","Alicja Szabelska","rep","package:base"
"2650","Alicja Szabelska","return","package:base"
"2651","Alicja Szabelska","rle","package:base"
"2652","Alicja Szabelska","round","package:base"
"2653","Alicja Szabelska","rowMeans","package:base"
"2654","Alicja Szabelska","rownames","package:base"
"2655","Alicja Szabelska","rowSums","package:base"
"2656","Alicja Szabelska","stop","package:base"
"2657","Alicja Szabelska","strsplit","package:base"
"2658","Alicja Szabelska","substring","package:base"
"2659","Alicja Szabelska","sum","package:base"
"2660","Alicja Szabelska","t","package:base"
"2661","Alicja Szabelska","getCountTable",NA
"2662","Alicja Szabelska","getSNP",NA
"2663","Alicja Szabelska","knit",NA
"2664","Alicja Szabelska","rowttests",NA
"2665","Alicja Szabelska","texi2dvi",NA
"2666","Alicja Szabelska","seqnames",NA
"2667","Alicja Szabelska","stopCluster",NA
"2668","Alicja Szabelska","strand",NA
"2669","Alicja Szabelska","width",NA
"2670","Alicja Szabelska","hump_diff1",NA
"2671","Alicja Szabelska","hump_diff2",NA
"2672","Alicja Szabelska","makeCluster",NA
"2673","Alicja Szabelska","min_maxNormalize",NA
"2674","Alicja Szabelska","newSeqReads",NA
"2675","Alicja Szabelska","permp",NA
"2676","Alicja Szabelska","pp_plot",NA
"2677","Alicja Szabelska","qq_plot",NA
"2678","Alicja Szabelska","registerDoParallel",NA
"2679","Alicja Szabelska","RleList2matrix",NA
"2680","Alicja Szabelska","setSAXPYData",NA
"2681","Alicja Szabelska","tolower","package:base"
"2682","Alicja Szabelska","unlist","package:base"
"2683","Alicja Szabelska","aggregate","package:stats"
"2684","Alicja Szabelska","p.adjust","package:stats"
"2685","Alicja Szabelska","combn","package:utils"
"2686","Brad Friedman","as.character","package:base"
"2687","Brad Friedman","invisible","package:base"
"2688","Brad Friedman","paste0","package:base"
"2689","Brad Friedman","capture.output","package:utils"
"2690","Brad Friedman","asis_output",NA
"2691","Brad Friedman","checkPackageInstalled",NA
"2692","Brad Friedman","stop","package:base"
"2693","Brad Friedman","sys.call","package:base"
"2694","Brad Friedman","return","package:base"
"2695","Brad Friedman","try","package:base"
"2696","Brad Friedman","is.list","package:base"
"2697","Brad Friedman","is.null","package:base"
"2698","Brad Friedman","is","package:methods"
"2699","Brad Friedman","setNames","package:stats"
"2700","Brad Friedman","library.dynam","package:base"
"2701","Brad Friedman","checkPackageVersion",NA
"2702","Brad Friedman","toJSON",NA
"2703","Brad Friedman","known.param.sizes",NA
"2704","Brad Friedman","subtest",NA
"2705","Brad Friedman","validate.labeled.param.value",NA
"2706","Brad Friedman","lapply","package:base"
"2707","Brad Friedman","length","package:base"
"2708","Brad Friedman","list","package:base"
"2709","Brad Friedman","names",".GlobalEnv"
"2710","Brad Friedman","paste","package:base"
"2711","Brad Friedman","sapply","package:base"
"2712","Brad Friedman","sort","package:base"
"2713","Brad Friedman","split","package:base"
"2714","Brad Friedman","stopifnot","package:base"
"2715","Brad Friedman","table","package:base"
"2716","Brad Friedman","unique","package:base"
"2717","Brad Friedman","unlist","package:base"
"2718","Brad Friedman","unname","package:base"
"2719","Brad Friedman","which","package:base"
"2720","Brad Friedman","require","package:base"
"2721","Brad Friedman","seq_along","package:base"
"2722","Brad Friedman","stderr","package:base"
"2723","Brad Friedman","substitute","package:base"
"2724","Brad Friedman","system.file","package:base"
"2725","Brad Friedman","tryCatch","package:base"
"2726","Brad Friedman","on.exit","package:base"
"2727","Brad Friedman","parent.frame","package:base"
"2728","Brad Friedman","new","package:methods"
"2729","Brad Friedman","validate.param.value",NA
"2730","Brad Friedman","printTextProtocol",NA
"2731","Brad Friedman","runTestSuite",NA
"2732","Brad Friedman","start.catching",NA
"2733","Brad Friedman","stop.catching",NA
"2734","Brad Friedman","new.datanode.table",NA
"2735","Brad Friedman","platformIsWindows",NA
"2736","Brad Friedman","sampleNames",NA
"2737","Brad Friedman","set.APS.outdir",NA
"2738","Brad Friedman","static.analysis.page",NA
"2739","Brad Friedman","static.analysis.page.query.string",NA
"2740","Brad Friedman","unique.words",NA
"2741","Brad Friedman","uniquify.ids.in.svg.files",NA
"2742","Brad Friedman","urlEncode",NA
"2743","Brad Friedman","handlers",NA
"2744","Brad Friedman","info",NA
"2745","Brad Friedman","is.textarea.wrap.request",NA
"2746","Brad Friedman","local.fcn",NA
"2747","Brad Friedman","new.event.registry",NA
"2748","Brad Friedman","new.response",NA
"2749","Brad Friedman","pages",NA
"2750","Brad Friedman","params",NA
"2751","Brad Friedman","rep","package:base"
"2752","Brad Friedman","rownames","package:base"
"2753","Brad Friedman","shQuote","package:base"
"2754","Brad Friedman","sum","package:base"
"2755","Brad Friedman","tempfile","package:base"
"2756","Brad Friedman","toupper","package:base"
"2757","Brad Friedman","unlink","package:base"
"2758","Brad Friedman","writeLines","package:base"
"2759","Brad Friedman","dev.list","package:grDevices"
"2760","Brad Friedman","png","package:grDevices"
"2761","Brad Friedman","dev.off","package:grDevices"
"2762","Brad Friedman","setdiff","package:base"
"2763","Brad Friedman","plot","package:graphics"
"2764","Brad Friedman","packageVersion","package:utils"
"2765","Brad Friedman","intersect","package:base"
"2766","Brad Friedman","paramSetToJSON",NA
"2767","Brad Friedman","process.response",NA
"2768","Brad Friedman","rapache.app.from.registry",NA
"2769","Brad Friedman","remove.old.files",NA
"2770","Brad Friedman","resources",NA
"2771","Brad Friedman","sendBin",NA
"2772","Brad Friedman","setContentType",NA
"2773","Brad Friedman","setHeader",NA
"2774","Brad Friedman","subLocalFcn",NA
"2775","Brad Friedman","temp.plot.file",NA
"2776","Brad Friedman","trig.registry",NA
"2777","Brad Friedman","trigger.event",NA
"2778","Brad Friedman","tryKeepTraceback",NA
"2779","Brad Friedman","substr","package:base"
"2780","Brad Friedman","Sys.getenv","package:base"
"2781","Brad Friedman","Sys.getpid","package:base"
"2782","Brad Friedman","Sys.time","package:base"
"2783","Brad Friedman","warning","package:base"
"2784","Brad Friedman","path",".GlobalEnv"
"2785","Brad Friedman","wait",NA
"2786","Ti-Tai Wang","apply","package:base"
"2787","Ti-Tai Wang","as.data.frame","package:base"
"2788","Ti-Tai Wang","as.matrix","package:base"
"2789","Ti-Tai Wang","head","package:utils"
"2790","Ti-Tai Wang","normalizeQuantiles",NA
"2791","Ti-Tai Wang","rankinvariant",NA
"2792","Ti-Tai Wang","c","package:base"
"2793","Ti-Tai Wang","mean","package:base"
"2794","Ti-Tai Wang","return","package:base"
"2795","Ti-Tai Wang","seq","package:base"
"2796","Ti-Tai Wang","match.arg","package:base"
"2797","Ti-Tai Wang","ncol","package:base"
"2798","Ti-Tai Wang","cor","package:stats"
"2799","Ti-Tai Wang","duncan.test",NA
"2800","Ti-Tai Wang","HSD.test",NA
"2801","Ti-Tai Wang","scheffe.test",NA
"2802","Ti-Tai Wang","dbListConnections",NA
"2803","Ti-Tai Wang","eg2sym",NA
"2804","Ti-Tai Wang","nrow","package:base"
"2805","Ti-Tai Wang","paste","package:base"
"2806","Ti-Tai Wang","row.names","package:base"
"2807","Ti-Tai Wang","seq_len","package:base"
"2808","Ti-Tai Wang","summary","package:base"
"2809","Ti-Tai Wang","t","package:base"
"2810","Ti-Tai Wang","which","package:base"
"2811","Ti-Tai Wang","vector","package:base"
"2812","Ti-Tai Wang","gage",NA
"2813","Ti-Tai Wang","MySQL",NA
"2814","Ti-Tai Wang","sym2eg",NA
"2815","Ti-Tai Wang","as.formula","package:stats"
"2816","Ti-Tai Wang","model.matrix","package:stats"
"2817","Ti-Tai Wang","p.adjust","package:stats"
"2818","Ti-Tai Wang","t.test","package:stats"
"2819","Ti-Tai Wang","wilcox.test","package:stats"
"2820","Ti-Tai Wang","intersect","package:base"
"2821","Ti-Tai Wang","cal_cor",NA
"2822","Ted Wong","as.factor","package:base"
"2823","Ted Wong","c","package:base"
"2824","Ted Wong","colnames","package:base"
"2825","Ted Wong",".transformPlot",NA
"2826","Ted Wong","aes_string",NA
"2827","Ted Wong","data.frame","package:base"
"2828","Ted Wong","ifelse","package:base"
"2829","Ted Wong","is.na","package:base"
"2830","Ted Wong","is.null","package:base"
"2831","Ted Wong","length","package:base"
"2832","Ted Wong","list","package:base"
"2833","Ted Wong","is","package:methods"
"2834","Ted Wong","element_text",NA
"2835","Ted Wong","geom_abline",NA
"2836","Ted Wong","geom_path",NA
"2837","Ted Wong","ggplot",NA
"2838","Ted Wong","ggtitle",NA
"2839","Ted Wong","order","package:base"
"2840","Ted Wong","print","package:base"
"2841","Ted Wong","rbind","package:base"
"2842","Ted Wong","round","package:base"
"2843","Ted Wong","row.names","package:base"
"2844","Ted Wong","rownames","package:base"
"2845","Ted Wong","sort","package:base"
"2846","Ted Wong","stopifnot","package:base"
"2847","Ted Wong","unique","package:base"
"2848","Ted Wong","unlist","package:base"
"2849","Ted Wong","with","package:base"
"2850","Ted Wong","seq","package:base"
"2851","Ted Wong","tryCatch","package:base"
"2852","Ted Wong","which.min","package:base"
"2853","Ted Wong","suppressWarnings","package:base"
"2854","Ted Wong","kable",NA
"2855","Ted Wong","labs",NA
"2856","Ted Wong","performance",NA
"2857","Ted Wong","prediction",NA
"2858","Ted Wong","revalue",NA
"2859","Ted Wong","theme",NA
"2860","Ted Wong","theme_bw",NA
"2861","Ted Wong","xlab",NA
"2862","Ted Wong","ylab",NA
"2863","Ted Wong","lp",NA
"2864","Ted Wong","qvalue",NA
"2865","Ted Wong","scale_x_log10",NA
"2866","Ted Wong","scale_y_log10",NA
"2867","Ted Wong","coef","package:stats"
"2868","Ted Wong","nls","package:stats"
"2869","Ted Wong","ecdf","package:stats"
"2870","Ted Wong","lm","package:stats"
"2871","Ted Wong","rstudent","package:stats"
"2872","Ted Wong","plot","package:graphics"
